class,f1_score,precision,recall,support
BALANCE,0.885,0.983,0.804,868
CASH,0.925,0.962,0.891,1252
CASHIER,0.788,0.754,0.826,397
BATCH_CODE,0.877,0.911,0.845,438
DATE,0.017,0.071,0.010,201
TELEPHONE_NUMBER,0.972,1.000,0.945,694
SHOP_ADDRESS,0.978,0.988,0.969,1569
SHOP_NAME,0.974,0.990,0.959,936
TIME,0.803,0.829,0.779,552
DISCOUNT,0.000,0.000,0.000,129
AMOUNT,0.733,0.857,0.640,486
UNIT_PRICE,0.607,0.762,0.504,470
INVOICE_NUMBER,0.525,0.372,0.893,516
TOTAL,0.862,0.980,0.769,940
TOTAL_COUNT,0.240,0.139,0.892,241
TOTAL_ITEM,0.826,0.978,0.715,1195
PRODUCT_NAME,0.827,0.888,0.773,1459
PRODUCT_NUMBER,0.633,0.500,0.863,314
USER,0.953,0.983,0.926,364
QTY,0.811,0.876,0.755,478
EXTRA,0.911,0.946,0.879,7345
