class,f1_score,precision,recall,support
BALANCE,0.900,0.900,0.900,20
CASH,0.911,0.878,0.947,38
CASHIER,1.000,1.000,1.000,63
BATCH_CODE,0.847,1.000,0.735,34
DATE,1.000,1.000,1.000,63
TELEPHONE_NUMBER,1.000,1.000,1.000,21
SHOP_ADDRESS,1.000,1.000,1.000,189
SHOP_NAME,1.000,1.000,1.000,83
TIME,1.000,1.000,1.000,63
VISA,0.000,0.000,0.000,6
DISCOUNT,0.000,0.000,0.000,12
AMOUNT,0.902,1.000,0.821,56
UNIT_PRICE,0.902,1.000,0.821,56
INVOICE_NUMBER,1.000,1.000,1.000,42
TOTAL,0.908,0.843,0.983,60
TOTAL_ITEM,0.543,0.391,0.887,71
TOTAL_QTY,0.967,0.952,0.983,60
COUPON,0.000,0.000,0.000,2
PRODUCT_NAME,0.821,0.953,0.721,197
QTY,0.911,1.000,0.836,55
EXTRA,0.998,0.998,0.998,651
