class,f1_score,precision,recall,support
BALANCE,0.967,0.984,0.951,759
CASH,0.962,0.936,0.991,1158
BATCH_CODE,0.977,0.974,0.980,350
TELEPHONE_NUMBER,0.991,1.000,0.983,636
SHOP_ADDRESS,0.993,0.989,0.997,1143
SHOP_NAME,0.986,0.980,0.993,732
TIME,0.993,0.993,0.993,423
DISCOUNT,0.000,0.000,0.000,40
AMOUNT,0.965,0.974,0.955,357
UNIT_PRICE,0.919,0.892,0.947,340
INVOICE_NUMBER,0.988,0.987,0.989,378
TOTAL,0.932,0.981,0.888,760
TOTAL_ITEMS,0.943,0.913,0.974,888
PRODUCT_NAME,0.955,0.956,0.954,856
USER,0.962,0.986,0.940,381
QTY,0.933,0.972,0.897,350
EXTRA,0.993,0.990,0.996,5568
