class,f1_score,precision,recall,support
BALANCE,0.949,0.974,0.925,80
CARD,0.000,0.000,0.000,4
CASH,0.955,0.938,0.974,77
CASHIER,0.997,0.997,0.997,317
BATCH_CODE,0.918,0.859,0.986,74
DATE,0.942,0.903,0.984,123
TELEPHONE_NUMBER,0.977,1.000,0.955,44
SHOP_ADDRESS,0.996,0.992,1.000,245
SHOP_NAME,0.988,0.984,0.992,128
TIME,0.988,0.992,0.984,124
DISCOUNT,0.708,0.719,0.697,66
AMOUNT,0.908,0.878,0.940,84
AMOUT,0.000,0.000,0.000,0
UNIT_PRICE,0.930,0.909,0.952,84
INVOICE_NUMBER,0.989,1.000,0.979,96
TOTAL,0.933,0.903,0.966,116
TOTAL_COUNT,0.943,0.993,0.898,167
TOTAL_ITEM,0.973,0.951,0.995,196
LOYALTY,0.000,0.000,0.000,10
PRODUCT_NAME,0.973,0.985,0.962,416
PRODUCT_NUMBER,0.978,0.961,0.996,246
PRODUCT_NUMBR,0.000,0.000,0.000,3
QTY,0.944,0.987,0.905,84
EXTRA,0.981,0.982,0.979,1015
