class,f1_score,precision,recall,support
BALANCE,0.978,0.969,0.988,849
CASH,0.984,0.990,0.978,1245
CASHIER,0.947,0.900,1.000,397
BATCH_CODE,0.941,0.939,0.943,421
DATE,0.982,0.969,0.995,190
TELEPHONE_NUMBER,0.991,0.987,0.994,702
SHOP_ADDRESS,0.996,0.999,0.993,1565
SHOP_NAME,0.997,0.996,0.998,945
TIME,0.994,0.998,0.990,574
DISCOUNT,0.706,0.787,0.640,75
AMOUNT,0.936,0.968,0.906,467
UNIT_PRICE,0.934,0.949,0.919,446
INVOICE_NUMBER,0.944,0.967,0.923,505
TOTAL,0.934,0.907,0.962,936
TOTAL_COUNT,0.767,0.907,0.664,235
TOTAL_ITEM,0.953,0.961,0.944,1213
PRODUCT_NAME,0.926,0.945,0.907,1269
PRODUCT_NUMBER,0.987,0.991,0.982,227
USER,0.985,0.987,0.984,378
QTY,0.947,0.968,0.927,455
EXTRA,0.980,0.970,0.989,7179
