class,f1_score,precision,recall,support
BALANCE,0.969,0.971,0.967,871
CASH,0.981,0.987,0.975,1290
CASHIER,0.879,0.789,0.994,323
BATCH_CODE,0.926,0.936,0.916,463
DATE,0.848,0.744,0.987,156
TELEPHONE_NUMBER,0.989,0.988,0.990,763
SHOP_ADDRESS,0.990,0.992,0.988,1553
SHOP_NAME,0.980,0.977,0.983,950
TIME,0.932,0.966,0.900,568
DISCOUNT,0.138,0.400,0.083,96
AMOUNT,0.914,0.939,0.890,502
UNIT_PRICE,0.891,0.918,0.867,488
INVOICE_NUMBER,0.900,0.910,0.890,511
TOTAL,0.923,0.906,0.941,934
TOTAL_COUNT,0.650,0.958,0.492,185
TOTAL_ITEM,0.934,0.928,0.939,1205
PRODUCT_NAME,0.895,0.908,0.881,1323
PRODUCT_NUMBER,0.951,0.977,0.926,229
USER,0.976,0.975,0.978,401
QTY,0.933,0.961,0.907,493
EXTRA,0.970,0.957,0.982,7241
