class,f1_score,precision,recall,support
BALANCE,0.966,0.933,1.000,28
CASH,0.976,0.952,1.000,40
CASHIER,1.000,1.000,1.000,63
BATCH_CODE,1.000,1.000,1.000,30
DATE,1.000,1.000,1.000,63
TELEPHONE_NUMBER,1.000,1.000,1.000,21
SHOP_ADDRESS,1.000,1.000,1.000,189
SHOP_NAME,1.000,1.000,1.000,84
TIME,1.000,1.000,1.000,63
VISA,0.000,0.000,0.000,0
DISCOUNT,0.000,0.000,0.000,0
AMOUNT,1.000,1.000,1.000,51
UNIT_PRICE,1.000,1.000,1.000,51
INVOICE_NUMBER,1.000,1.000,1.000,42
TOTAL,0.976,0.952,1.000,60
TOTAL_ITEM,0.754,0.984,0.612,103
TOTAL_QTY,0.976,0.952,1.000,60
COUPON,0.000,0.000,0.000,0
PRODUCT_NAME,1.000,1.000,1.000,160
QTY,1.000,1.000,1.000,51
EXTRA,0.976,0.954,0.998,622
