class,f1_score,precision,recall,support
BALANCE,0.977,0.986,0.968,747
CASH,0.991,0.987,0.996,1116
BATCH_CODE,0.989,0.994,0.984,314
TELEPHONE_NUMBER,0.993,0.995,0.991,645
SHOP_ADDRESS,0.997,0.999,0.995,1114
SHOP_NAME,0.988,0.983,0.992,718
TIME,0.983,0.977,0.989,378
DISCOUNT,0.000,0.000,0.000,23
AMOUNT,0.979,0.984,0.974,313
UNIT_PRICE,0.974,0.964,0.983,300
INVOICE_NUMBER,0.989,0.986,0.992,368
TOTAL,0.991,0.992,0.989,751
TOTAL_ITEMS,0.992,0.991,0.993,891
PRODUCT_NAME,0.986,0.993,0.980,692
USER,0.991,0.989,0.992,372
QTY,0.989,0.994,0.984,312
EXTRA,0.995,0.992,0.998,5459
