class,f1_score,precision,recall,support
BALANCE,0.976,0.988,0.964,83
CARD,0.000,0.000,0.000,4
CASH,0.938,0.926,0.949,79
CASHIER,0.998,0.997,1.000,317
BATCH_CODE,0.923,0.923,0.923,78
DATE,0.996,1.000,0.992,124
TELEPHONE_NUMBER,0.976,0.976,0.976,41
SHOP_ADDRESS,0.996,0.996,0.996,246
SHOP_NAME,0.989,0.985,0.992,130
TIME,1.000,1.000,1.000,123
DISCOUNT,0.902,0.821,1.000,78
AMOUNT,0.976,0.976,0.976,84
AMOUT,0.000,0.000,0.000,1
UNIT_PRICE,0.988,1.000,0.977,87
INVOICE_NUMBER,0.960,0.923,1.000,96
TOTAL,0.925,0.910,0.941,118
TOTAL_COUNT,0.994,0.994,0.994,167
TOTAL_ITEM,0.987,0.980,0.995,193
LOYALTY,0.000,0.000,0.000,26
PRODUCT_NAME,0.950,0.985,0.917,436
PRODUCT_NUMBER,0.946,0.898,1.000,255
PRODUCT_NUMBR,0.000,0.000,0.000,0
QTY,0.988,0.988,0.988,86
EXTRA,0.991,0.990,0.991,1119
