class,f1_score,precision,recall,support
BALANCE,0.980,0.973,0.988,907
CASH,0.991,0.993,0.989,1366
CASHIER,0.974,0.948,1.000,276
BATCH_CODE,0.952,0.952,0.952,463
DATE,1.000,1.000,1.000,150
TELEPHONE_NUMBER,1.000,1.000,1.000,757
SHOP_ADDRESS,0.999,1.000,0.998,1592
SHOP_NAME,0.992,0.987,0.998,967
TIME,0.997,0.995,1.000,553
DISCOUNT,0.635,1.000,0.465,101
AMOUNT,0.942,0.985,0.902,518
UNIT_PRICE,0.919,0.913,0.924,476
INVOICE_NUMBER,0.972,0.982,0.963,514
TOTAL,0.964,0.960,0.968,988
TOTAL_COUNT,0.762,1.000,0.615,182
TOTAL_ITEM,0.967,0.947,0.987,1191
PRODUCT_NAME,0.911,0.912,0.910,1398
PRODUCT_NUMBER,0.936,0.985,0.892,222
USER,0.991,0.990,0.993,407
QTY,0.937,0.956,0.920,497
EXTRA,0.989,0.981,0.997,7525
