class,f1_score,precision,recall,support
BALANCE,0.889,0.800,1.000,20
CASH,0.974,0.950,1.000,38
CASHIER,1.000,1.000,1.000,63
BATCH_CODE,0.989,0.978,1.000,45
DATE,1.000,1.000,1.000,63
TELEPHONE_NUMBER,1.000,1.000,1.000,21
SHOP_ADDRESS,1.000,1.000,1.000,189
SHOP_NAME,1.000,1.000,1.000,84
TIME,1.000,1.000,1.000,63
VISA,0.000,0.000,0.000,6
DISCOUNT,0.286,1.000,0.167,18
AMOUNT,1.000,1.000,1.000,65
UNIT_PRICE,0.992,0.985,1.000,65
INVOICE_NUMBER,1.000,1.000,1.000,42
TOTAL,0.976,0.952,1.000,60
TOTAL_ITEM,0.746,0.955,0.612,103
TOTAL_QTY,0.976,0.952,1.000,60
COUPON,0.000,0.000,0.000,2
PRODUCT_NAME,0.965,0.932,1.000,248
QTY,1.000,1.000,1.000,65
EXTRA,0.974,0.954,0.995,622
