class,f1_score,precision,recall,support
BALANCE,0.980,0.971,0.990,478
CASH,1.000,1.000,1.000,731
BATCH_CODE,0.979,0.991,0.966,237
TELEPHONE_NUMBER,1.000,1.000,1.000,417
SHOP_ADDRESS,0.998,1.000,0.996,718
SHOP_NAME,0.987,0.985,0.989,458
TIME,1.000,1.000,1.000,248
AMOUNT,0.975,0.987,0.963,241
UNIT_PRICE,0.976,0.966,0.987,229
INVOICE_NUMBER,1.000,1.000,1.000,236
TOTAL,1.000,1.000,1.000,476
TOTAL_ITEMS,1.000,1.000,1.000,561
PRODUCT_NAME,0.979,0.982,0.977,557
USER,0.990,0.980,1.000,240
QTY,0.996,0.996,0.996,235
EXTRA,0.995,0.995,0.994,3576
