class,f1_score,precision,recall,support
BALANCE,0.986,0.989,0.983,663
CASH,0.992,0.993,0.991,996
BATCH_CODE,0.986,0.980,0.993,294
TELEPHONE_NUMBER,0.977,0.967,0.987,542
SHOP_ADDRESS,0.998,0.999,0.997,976
SHOP_NAME,0.994,0.989,1.000,628
TIME,0.970,0.979,0.961,389
AMOUNT,0.990,0.993,0.987,299
UNIT_PRICE,0.981,0.976,0.986,293
INVOICE_NUMBER,0.976,0.987,0.966,322
TOTAL,0.986,0.980,0.991,655
TOTAL_ITEMS,0.998,1.000,0.996,779
PRODUCT_NAME,0.982,0.987,0.976,713
USER,0.983,0.985,0.982,327
QTY,0.990,0.990,0.990,297
EXTRA,0.997,0.997,0.998,4740
