class,f1_score,precision,recall,support
BALANCE,0.974,0.968,0.980,397
CASH,0.974,0.985,0.964,549
CASHIER,0.997,0.994,1.000,318
BATCH_CODE,0.926,0.903,0.951,205
DATE,0.988,0.984,0.992,124
TELEPHONE_NUMBER,0.984,0.994,0.975,315
SHOP_ADDRESS,0.996,0.997,0.994,715
SHOP_NAME,0.984,0.993,0.975,439
TIME,0.977,0.974,0.980,300
AMOUNT,0.973,0.973,0.973,220
UNIT_PRICE,0.956,0.972,0.941,219
INVOICE_NUMBER,0.973,0.965,0.980,253
TOTAL,0.953,0.922,0.986,432
TOTAL_COUNT,0.982,1.000,0.965,172
TOTAL_ITEM,0.979,0.964,0.995,189
TOTAL_ITEMS,0.997,1.000,0.995,376
PRODUCT_NAME,0.948,0.953,0.943,671
PRODUCT_NUMBER,0.973,0.987,0.959,246
USER,0.962,0.956,0.968,156
QTY,0.968,0.972,0.963,219
EXTRA,0.985,0.986,0.984,3413
