class,f1_score,precision,recall,support
BALANCE,0.983,0.976,0.991,771
CASH,0.992,0.993,0.991,1169
BATCH_CODE,0.995,0.994,0.997,319
TELEPHONE_NUMBER,1.000,1.000,1.000,669
SHOP_ADDRESS,0.997,1.000,0.995,1125
SHOP_NAME,0.993,0.986,1.000,728
TIME,0.995,0.993,0.998,406
DISCOUNT,0.711,0.889,0.593,27
AMOUNT,0.964,0.979,0.950,338
UNIT_PRICE,0.976,0.960,0.994,312
INVOICE_NUMBER,0.992,0.992,0.992,368
TOTAL,0.990,0.990,0.990,765
TOTAL_ITEMS,0.997,0.997,0.997,932
PRODUCT_NAME,0.990,0.995,0.986,735
USER,0.983,0.979,0.987,374
QTY,1.000,1.000,1.000,323
EXTRA,0.998,0.999,0.997,5538
