class,f1_score,precision,recall,support
BALANCE,0.982,0.988,0.976,82
CARD,0.000,0.000,0.000,0
CASH,0.949,0.938,0.962,78
CASHIER,1.000,1.000,1.000,316
BATCH_CODE,0.958,0.932,0.986,70
DATE,1.000,1.000,1.000,123
TELEPHONE_NUMBER,0.989,1.000,0.977,44
SHOP_ADDRESS,0.994,0.992,0.996,246
SHOP_NAME,0.996,1.000,0.992,131
TIME,0.992,0.992,0.992,124
DISCOUNT,0.909,0.903,0.915,71
AMOUNT,0.973,0.973,0.973,75
AMOUT,0.000,0.000,0.000,0
UNIT_PRICE,0.974,1.000,0.950,80
INVOICE_NUMBER,1.000,1.000,1.000,94
TOTAL,0.938,0.905,0.974,117
TOTAL_COUNT,0.988,0.994,0.982,171
TOTAL_ITEM,0.982,0.969,0.995,190
LOYALTY,0.000,0.000,0.000,4
PRODUCT_NAME,0.964,0.943,0.987,385
PRODUCT_NUMBER,0.964,0.991,0.938,241
PRODUCT_NUMBR,0.000,0.000,0.000,0
QTY,1.000,1.000,1.000,76
EXTRA,0.993,0.999,0.986,1086
