receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,6_28,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,6_28,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,6_28,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
1,6_28,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
1,6_28,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,6_28,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,6_28,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
1,6_28,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,6_28,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,6_28,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,6_28,TEL:021,NNP,3,3,1,7,0,0,1,TELEPHONE_NUMBER
1,6_28,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
1,6_28,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
1,6_28,"March,23,2019,18:36",NNP,5,10,4,19,0,3,1,TIME
1,6_28,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
1,6_28,278753,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
1,6_28,user,NN,4,0,0,4,0,0,0,USER
1,6_28,sivaa,NN,5,0,0,5,0,0,0,USER
1,6_28,coca,NN,4,0,0,4,0,0,0,PRODUCT_NAME
1,6_28,cola:250ml,JJ,6,3,1,10,0,0,1,PRODUCT_NAME
1,6_28,BVO0949,NNP,3,4,0,7,0,0,0,BATCH_CODE
1,6_28,:,:,0,0,1,1,0,0,1,EXTRA
1,6_28,1,CD,0,1,0,1,0,0,0,QTY
1,6_28,X,$,1,0,0,1,0,0,0,EXTRA
1,6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,6_28,=,JJ,0,0,1,1,0,0,0,EXTRA
1,6_28,60,CD,0,2,0,2,0,0,0,AMOUNT
1,6_28,fanta:portello:250ml,JJ,15,3,2,20,0,0,2,PRODUCT_NAME
1,6_28,BVO1006,NNP,3,4,0,7,0,0,0,BATCH_CODE
1,6_28,:,:,0,0,1,1,0,0,1,EXTRA
1,6_28,1,CD,0,1,0,1,0,0,0,QTY
1,6_28,X,VBD,1,0,0,1,0,0,0,EXTRA
1,6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,6_28,60,CD,0,2,0,2,0,0,0,AMOUNT
1,6_28,salt:lanka:1kg,JJ,11,1,2,14,0,0,2,PRODUCT_NAME
1,6_28,GYO0152,NNP,3,4,0,7,0,0,0,BATCH_CODE
1,6_28,:,:,0,0,1,1,0,0,1,EXTRA
1,6_28,2,CD,0,1,0,1,0,0,0,QTY
1,6_28,x,$,1,0,0,1,0,0,0,EXTRA
1,6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,6_28,=,NNP,0,0,1,1,0,0,0,EXTRA
1,6_28,120,CD,0,3,0,3,0,0,0,AMOUNT
1,6_28,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
1,6_28,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
1,6_28,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
1,6_28,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
1,6_28,3,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
1,6_28,Total,NN,5,0,0,5,0,0,0,TOTAL
1,6_28,:,:,0,0,1,1,0,0,1,TOTAL
1,6_28,RS,JJ,2,0,0,2,0,0,0,TOTAL
1,6_28,240,CD,0,3,0,3,0,0,0,TOTAL
