receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
6_28,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
6_28,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
6_28,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
6_28,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
6_28,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
6_28,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
6_28,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
6_28,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
6_28,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
6_28,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
6_28,TEL:021,NNP,3,3,1,7,0,0,1,TELEPHONE_NUMBER
6_28,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
6_28,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
6_28,"March,23,2019,18:36",NNP,5,10,4,19,0,3,1,TIME
6_28,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
6_28,278753,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
6_28,user,NN,4,0,0,4,0,0,0,USER
6_28,sivaa,NN,5,0,0,5,0,0,0,USER
6_28,coca,NN,4,0,0,4,0,0,0,PRODUCT_NAME
6_28,cola:250ml,JJ,6,3,1,10,0,0,1,PRODUCT_NAME
6_28,BVO0949,NNP,3,4,0,7,0,0,0,BATCH_CODE
6_28,:,:,0,0,1,1,0,0,1,EXTRA
6_28,1,CD,0,1,0,1,0,0,0,QTY
6_28,X,$,1,0,0,1,0,0,0,EXTRA
6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
6_28,=,JJ,0,0,1,1,0,0,0,EXTRA
6_28,60,CD,0,2,0,2,0,0,0,AMOUNT
6_28,fanta:portello:250ml,JJ,15,3,2,20,0,0,2,PRODUCT_NAME
6_28,BVO1006,NNP,3,4,0,7,0,0,0,BATCH_CODE
6_28,:,:,0,0,1,1,0,0,1,EXTRA
6_28,1,CD,0,1,0,1,0,0,0,QTY
6_28,X,VBD,1,0,0,1,0,0,0,EXTRA
6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
6_28,60,CD,0,2,0,2,0,0,0,AMOUNT
6_28,salt:lanka:1kg,JJ,11,1,2,14,0,0,2,PRODUCT_NAME
6_28,GYO0152,NNP,3,4,0,7,0,0,0,BATCH_CODE
6_28,:,:,0,0,1,1,0,0,1,EXTRA
6_28,2,CD,0,1,0,1,0,0,0,QTY
6_28,x,$,1,0,0,1,0,0,0,EXTRA
6_28,60,CD,0,2,0,2,0,0,0,UNIT_PRICE
6_28,=,NNP,0,0,1,1,0,0,0,EXTRA
6_28,120,CD,0,3,0,3,0,0,0,AMOUNT
6_28,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
6_28,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
6_28,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
6_28,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
6_28,3,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
6_28,Total,NN,5,0,0,5,0,0,0,TOTAL
6_28,:,:,0,0,1,1,0,0,1,TOTAL
6_28,RS,JJ,2,0,0,2,0,0,0,TOTAL
6_28,240,CD,0,3,0,3,0,0,0,TOTAL
6_28,PAID,VBN,4,0,0,4,0,0,0,CASH
6_28,BY,NNP,2,0,0,2,0,0,0,CASH
6_28,CASE,NNP,4,0,0,4,0,0,0,CASH
6_28,:,:,0,0,1,1,0,0,1,CASH
6_28,RS,NNP,2,0,0,2,0,0,0,CASH
6_28,1000,CD,0,4,0,4,0,0,0,CASH
6_28,Change,NN,6,0,0,6,0,0,0,BALANCE
6_28,:,:,0,0,1,1,0,0,1,BALANCE
6_28,RS,JJ,2,0,0,2,0,0,0,BALANCE
6_28,760,CD,0,3,0,3,0,0,0,BALANCE
6_28,Thank,NNP,5,0,0,5,0,0,0,EXTRA
6_28,You,PRP,3,0,0,3,0,0,0,EXTRA
6_28,For,IN,3,0,0,3,0,0,0,EXTRA
6_28,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
6_28,Notice,NNP,6,0,0,6,0,0,0,EXTRA
6_28,Any,NNP,3,0,0,3,0,0,0,EXTRA
6_28,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
6_28,",",",",0,0,1,1,0,1,0,EXTRA
6_28,return,VBP,6,0,0,6,0,0,0,EXTRA
6_28,the,DT,3,0,0,3,0,0,0,EXTRA
6_28,item,NN,4,0,0,4,0,0,0,EXTRA
6_28,(,(,0,0,1,1,0,0,0,EXTRA
6_28,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
6_28,),),0,0,1,1,0,0,0,EXTRA
6_28,&,CC,0,0,1,1,0,0,0,EXTRA
6_28,bill,NN,4,0,0,4,0,0,0,EXTRA
6_28,within,IN,6,0,0,6,0,0,0,EXTRA
6_28,7days,CD,4,1,0,5,0,0,0,EXTRA
6_28,Designed,VBN,8,0,0,8,0,0,0,EXTRA
6_28,by,IN,2,0,0,2,0,0,0,EXTRA
6_28,NVM,NNP,3,0,0,3,0,0,0,EXTRA
6_28,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
6_28,776843023,CD,0,9,0,9,0,0,0,EXTRA
6_28,",",",",0,0,1,1,0,1,0,EXTRA
6_28,113159693,CD,0,9,0,9,0,0,0,EXTRA
4_60,Mega,JJ,4,0,0,4,0,0,0,SHOP_NAME
4_60,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
4_60,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
4_60,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
4_60,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
4_60,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
4_60,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
4_60,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
4_60,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
4_60,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
4_60,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
4_60,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
4_60,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
4_60,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
4_60,"March,20,2019,20:39",NNP,5,10,4,19,0,3,1,TIME
4_60,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
4_60,277886,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
4_60,User,NNP,4,0,0,4,0,0,0,USER
4_60,sivaa,JJ,5,0,0,5,0,0,0,USER
4_60,atlas:whiteboard,JJ,15,0,1,16,0,0,1,PRODUCT_NAME
4_60,marker:black,NN,11,0,1,12,0,0,1,PRODUCT_NAME
4_60,ST00802,NNP,2,5,0,7,0,0,0,BATCH_CODE
4_60,:,:,0,0,1,1,0,0,1,EXTRA
4_60,1,CD,0,1,0,1,0,0,0,QTY
4_60,X,$,1,0,0,1,0,0,0,EXTRA
4_60,80,CD,0,2,0,2,0,0,0,UNIT_PRICE
4_60,=,JJ,0,0,1,1,0,0,0,EXTRA
4_60,80,CD,0,2,0,2,0,0,0,AMOUNT
4_60,sunlight,JJ,8,0,0,8,0,0,0,PRODUCT_NAME
4_60,powder:green:70g,JJ,12,2,2,16,0,0,2,PRODUCT_NAME
4_60,CI00877,NN,2,5,0,7,0,0,0,BATCH_CODE
4_60,:,:,0,0,1,1,0,0,1,EXTRA
4_60,1,CD,0,1,0,1,0,0,0,QTY
4_60,X,$,1,0,0,1,0,0,0,EXTRA
4_60,10,CD,0,2,0,2,0,0,0,AMOUNT
4_60,=,NNP,0,0,1,1,0,0,0,EXTRA
4_60,10,CD,0,2,0,2,0,0,0,AMOUNT
4_60,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
4_60,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
4_60,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
4_60,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
4_60,2,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
4_60,Total,NN,5,0,0,5,0,0,0,TOTAL
4_60,:,:,0,0,1,1,0,0,1,TOTAL
4_60,RS,JJ,2,0,0,2,0,0,0,TOTAL
4_60,90,CD,0,2,0,2,0,0,0,TOTAL
4_60,PAID,VBN,4,0,0,4,0,0,0,CASH
4_60,By,IN,2,0,0,2,0,0,0,CASH
4_60,CASH,NNP,4,0,0,4,0,0,0,CASH
4_60,:,:,0,0,1,1,0,0,1,CASH
4_60,RS,JJ,2,0,0,2,0,0,0,CASH
4_60,500,CD,0,3,0,3,0,0,0,CASH
4_60,Change,NN,6,0,0,6,0,0,0,BALANCE
4_60,:,:,0,0,1,1,0,0,1,BALANCE
4_60,RS,JJ,2,0,0,2,0,0,0,BALANCE
4_60,410,CD,0,3,0,3,0,0,0,BALANCE
4_60,Thank,NNP,5,0,0,5,0,0,0,EXTRA
4_60,You,PRP,3,0,0,3,0,0,0,EXTRA
4_60,For,IN,3,0,0,3,0,0,0,EXTRA
4_60,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
4_60,Notice,NNP,6,0,0,6,0,0,0,EXTRA
4_60,Any,NNP,3,0,0,3,0,0,0,EXTRA
4_60,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
4_60,",",",",0,0,1,1,0,1,0,EXTRA
4_60,return,VBP,6,0,0,6,0,0,0,EXTRA
4_60,the,DT,3,0,0,3,0,0,0,EXTRA
4_60,item,NN,4,0,0,4,0,0,0,EXTRA
4_60,(,(,0,0,1,1,0,0,0,EXTRA
4_60,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
4_60,),),0,0,1,1,0,0,0,EXTRA
4_60,&,CC,0,0,1,1,0,0,0,EXTRA
4_60,bill,NN,4,0,0,4,0,0,0,EXTRA
4_60,within,IN,6,0,0,6,0,0,0,EXTRA
4_60,7day,CD,3,1,0,4,0,0,0,EXTRA
4_60,s,NNS,1,0,0,1,0,0,0,EXTRA
4_60,Designed,VBN,8,0,0,8,0,0,0,EXTRA
4_60,by,IN,2,0,0,2,0,0,0,EXTRA
4_60,NVM,NNP,3,0,0,3,0,0,0,EXTRA
4_60,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
4_60,776843023,CD,0,9,0,9,0,0,0,EXTRA
4_60,",",",",0,0,1,1,0,1,0,EXTRA
4_60,113159693,CD,0,9,0,9,0,0,0,EXTRA
20_29,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
20_29,mall,NN,4,0,0,4,0,0,0,SHOP_NAME
20_29,supermarket,NN,11,0,0,11,0,0,0,SHOP_NAME
20_29,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
20_29,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
20_29,navalar,JJ,7,0,0,7,0,0,0,SHOP_ADDRESS
20_29,road,NN,4,0,0,4,0,0,0,SHOP_ADDRESS
20_29,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
20_29,jaffna,NN,6,0,0,6,0,0,0,SHOP_ADDRESS
20_29,Tel:0212224343,NNP,3,10,1,14,0,0,1,TELEPHONE_NUMBER
20_29,Date:04.04.2019,NNP,4,8,3,15,2,0,1,TIME
20_29,Time:12:54,NNP,4,4,2,10,0,0,2,TIME
20_29,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
20_29,282122,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
20_29,User,NNP,4,0,0,4,0,0,0,USER
20_29,sivaa,VBD,5,0,0,5,0,0,0,USER
20_29,Egg:white:1pcs,NNP,11,1,2,14,0,0,2,PRODUCT_NAME
20_29,GY00075,NNP,2,5,0,7,0,0,0,BATCH_CODE
20_29,:,:,0,0,1,1,0,0,1,EXTRA
20_29,10,CD,0,2,0,2,0,0,0,QTY
20_29,20,CD,0,2,0,2,0,0,0,UNIT_PRICE
20_29,200,CD,0,3,0,3,0,0,0,AMOUNT
20_29,Uswatte:march,JJ,12,0,1,13,0,0,1,PRODUCT_NAME
20_29,mallow:1pcs,JJ,9,1,1,11,0,0,1,PRODUCT_NAME
20_29,CS0101,NN,2,4,0,6,0,0,0,BATCH_CODE
20_29,:,:,0,0,1,1,0,0,1,EXTRA
20_29,2,CD,0,1,0,1,0,0,0,QTY
20_29,5,CD,0,1,0,1,0,0,0,UNIT_PRICE
20_29,10,CD,0,2,0,2,0,0,0,AMOUNT
20_29,No.of.item:2,NNP,8,1,3,12,2,0,1,TOTAL_ITEMS
20_29,Total,NN,5,0,0,5,0,0,0,TOTAL
20_29,:,:,0,0,1,1,0,0,1,TOTAL
20_29,rs,NN,2,0,0,2,0,0,0,TOTAL
20_29,210,CD,0,3,0,3,0,0,0,TOTAL
20_29,Paid,VBN,4,0,0,4,0,0,0,CASH
20_29,by,IN,2,0,0,2,0,0,0,CASH
20_29,cash,NN,4,0,0,4,0,0,0,CASH
20_29,:,:,0,0,1,1,0,0,1,CASH
20_29,rs,JJ,2,0,0,2,0,0,0,CASH
20_29,1010,CD,0,4,0,4,0,0,0,CASH
20_29,Change,NN,6,0,0,6,0,0,0,BALANCE
20_29,:,:,0,0,1,1,0,0,1,BALANCE
20_29,rs,NN,2,0,0,2,0,0,0,BALANCE
20_29,800,CD,0,3,0,3,0,0,0,BALANCE
20_29,Thank,NNP,5,0,0,5,0,0,0,EXTRA
20_29,you,PRP,3,0,0,3,0,0,0,EXTRA
20_29,for,IN,3,0,0,3,0,0,0,EXTRA
20_29,shipping,VBG,8,0,0,8,0,0,0,EXTRA
20_29,Notice,NNP,6,0,0,6,0,0,0,EXTRA
20_29,Any,NNP,3,0,0,3,0,0,0,EXTRA
20_29,discrepancy,NN,11,0,0,11,0,0,0,EXTRA
20_29,",",",",0,0,1,1,0,1,0,EXTRA
20_29,return,VBP,6,0,0,6,0,0,0,EXTRA
