receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,20_184,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,20_184,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,20_184,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
1,20_184,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
1,20_184,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,20_184,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,20_184,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
1,20_184,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,20_184,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,20_184,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,20_184,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
1,20_184,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
1,20_184,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
1,20_184,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
1,20_184,"April,04,2019,13:57",NNP,5,10,4,19,0,3,1,TIME
1,20_184,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
1,20_184,282142,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
1,20_184,User,NNP,4,0,0,4,0,0,0,USER
1,20_184,sivaa,VBD,5,0,0,5,0,0,0,USER
1,20_184,milo:nestle:chocolate:180ml,JJ,21,3,3,27,0,0,3,PRODUCT_NAME
1,20_184,BV00314,NNP,2,5,0,7,0,0,0,BATCH_CODE
1,20_184,:,:,0,0,1,1,0,0,1,EXTRA
1,20_184,1,CD,0,1,0,1,0,0,0,QTY
1,20_184,x,$,1,0,0,1,0,0,0,EXTRA
1,20_184,50,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,20_184,=,NNP,0,0,1,1,0,0,0,EXTRA
1,20_184,50,CD,0,2,0,2,0,0,0,AMOUNT
1,20_184,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
1,20_184,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
1,20_184,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
1,20_184,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
1,20_184,1,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
1,20_184,Total,NN,5,0,0,5,0,0,0,TOTAL
1,20_184,:,:,0,0,1,1,0,0,1,TOTAL
1,20_184,RS,JJ,2,0,0,2,0,0,0,TOTAL
1,20_184,50,CD,0,2,0,2,0,0,0,TOTAL
1,20_184,PAID,VBN,4,0,0,4,0,0,0,CASH
1,20_184,By,IN,2,0,0,2,0,0,0,CASH
1,20_184,CASH,NNP,4,0,0,4,0,0,0,CASH
1,20_184,:,:,0,0,1,1,0,0,1,CASH
1,20_184,RS,JJ,2,0,0,2,0,0,0,CASH
1,20_184,50,CD,0,2,0,2,0,0,0,CASH
1,20_184,Change,NN,6,0,0,6,0,0,0,BALANCE
1,20_184,:,:,0,0,1,1,0,0,1,BALANCE
1,20_184,RS,JJ,2,0,0,2,0,0,0,BALANCE
1,20_184,0,CD,0,1,0,1,0,0,0,BALANCE
1,20_184,Thank,NNP,5,0,0,5,0,0,0,EXTRA
1,20_184,You,PRP,3,0,0,3,0,0,0,EXTRA
1,20_184,For,IN,3,0,0,3,0,0,0,EXTRA
1,20_184,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
1,20_184,Notice,NNP,6,0,0,6,0,0,0,EXTRA
1,20_184,Any,NNP,3,0,0,3,0,0,0,EXTRA
1,20_184,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
1,20_184,",",",",0,0,1,1,0,1,0,EXTRA
1,20_184,return,VBP,6,0,0,6,0,0,0,EXTRA
1,20_184,the,DT,3,0,0,3,0,0,0,EXTRA
1,20_184,ittem,NN,5,0,0,5,0,0,0,EXTRA
1,20_184,(,(,0,0,1,1,0,0,0,EXTRA
1,20_184,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
1,20_184,),),0,0,1,1,0,0,0,EXTRA
1,20_184,&,CC,0,0,1,1,0,0,0,EXTRA
1,20_184,bill,NN,4,0,0,4,0,0,0,EXTRA
1,20_184,within,IN,6,0,0,6,0,0,0,EXTRA
1,20_184,7day,CD,3,1,0,4,0,0,0,EXTRA
1,20_184,s,NNS,1,0,0,1,0,0,0,EXTRA
1,20_184,Designed,VBN,8,0,0,8,0,0,0,EXTRA
1,20_184,by,IN,2,0,0,2,0,0,0,EXTRA
1,20_184,NVM,NNP,3,0,0,3,0,0,0,EXTRA
1,20_184,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
1,20_184,776843023,CD,0,9,0,9,0,0,0,EXTRA
1,20_184,",",",",0,0,1,1,0,1,0,EXTRA
1,20_184,113159693,CD,0,9,0,9,0,0,0,EXTRA
2,22_27 ,15,CD ,0,2,0,2,0,0,0,AMOUNT
3,11_38,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
3,11_38,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
3,11_38,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
3,11_38,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
3,11_38,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
3,11_38,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
3,11_38,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
3,11_38,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
3,11_38,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
3,11_38,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
3,11_38,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
3,11_38,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
3,11_38,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
3,11_38,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
3,11_38,"March,22,2019,09:05",NNP,5,10,4,19,0,3,1,TIME
3,11_38,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
3,11_38,278205,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
3,11_38,User,NNP,4,0,0,4,0,0,0,USER
3,11_38,sivaa,VBD,5,0,0,5,0,0,0,USER
3,11_38,toffee:,JJ,6,0,1,7,0,0,1,PRODUCT_NAME
3,11_38,1pcs,CD,3,1,0,4,0,0,0,PRODUCT_NAME
3,11_38,CS00504,NNPS,2,5,0,7,0,0,0,BATCH_CODE
3,11_38,:,:,0,0,1,1,0,0,1,EXTRA
3,11_38,1,CD,0,1,0,1,0,0,0,QTY
3,11_38,X,VBD,1,0,0,1,0,0,0,EXTRA
3,11_38,5.00=,CD,0,3,2,5,1,0,0,UNIT_PRICE
3,11_38,5,CD,0,1,0,1,0,0,0,AMOUNT
3,11_38,No,NN,2,0,0,2,0,0,0,TOTAL_ITEMS
3,11_38,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
3,11_38,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
3,11_38,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
3,11_38,1,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
3,11_38,Total,NN,5,0,0,5,0,0,0,TOTAL
3,11_38,:,:,0,0,1,1,0,0,1,TOTAL
3,11_38,RS,JJ,2,0,0,2,0,0,0,TOTAL
3,11_38,5,CD,0,1,0,1,0,0,0,TOTAL
3,11_38,PAID,VBN,4,0,0,4,0,0,0,CASH
3,11_38,By,IN,2,0,0,2,0,0,0,CASH
3,11_38,CASH,NNP,4,0,0,4,0,0,0,CASH
3,11_38,:,:,0,0,1,1,0,0,1,CASH
3,11_38,RS,JJ,2,0,0,2,0,0,0,CASH
3,11_38,5,CD,0,1,0,1,0,0,0,CASH
3,11_38,Change,NN,6,0,0,6,0,0,0,BALANCE
3,11_38,:,:,0,0,1,1,0,0,1,BALANCE
3,11_38,RS,JJ,2,0,0,2,0,0,0,BALANCE
3,11_38,0,CD,0,1,0,1,0,0,0,BALANCE
3,11_38,Thank,NNP,5,0,0,5,0,0,0,EXTRA
3,11_38,You,PRP,3,0,0,3,0,0,0,EXTRA
3,11_38,For,IN,3,0,0,3,0,0,0,EXTRA
3,11_38,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
3,11_38,Notice,NNP,6,0,0,6,0,0,0,EXTRA
3,11_38,Any,NNP,3,0,0,3,0,0,0,EXTRA
3,11_38,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
3,11_38,",",",",0,0,1,1,0,1,0,EXTRA
3,11_38,return,VBP,6,0,0,6,0,0,0,EXTRA
3,11_38,the,DT,3,0,0,3,0,0,0,EXTRA
3,11_38,item,NN,4,0,0,4,0,0,0,EXTRA
3,11_38,(,(,0,0,1,1,0,0,0,EXTRA
3,11_38,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
3,11_38,),),0,0,1,1,0,0,0,EXTRA
3,11_38,&,CC,0,0,1,1,0,0,0,EXTRA
3,11_38,bill,NN,4,0,0,4,0,0,0,EXTRA
3,11_38,within,IN,6,0,0,6,0,0,0,EXTRA
3,11_38,7days,CD,4,1,0,5,0,0,0,EXTRA
3,11_38,Designed,VBN,8,0,0,8,0,0,0,EXTRA
3,11_38,by,IN,2,0,0,2,0,0,0,EXTRA
3,11_38,NVM,NNP,3,0,0,3,0,0,0,EXTRA
3,11_38,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
3,11_38,776843023,CD,0,9,0,9,0,0,0,EXTRA
3,11_38,",",",",0,0,1,1,0,1,0,EXTRA
3,11_38,113159693,CD,0,9,0,9,0,0,0,EXTRA
4,6_8,MEGA,NN,4,0,0,4,0,0,0,SHOP_NAME
4,6_8,MALL,NNP,4,0,0,4,0,0,0,SHOP_NAME
4,6_8,SUPER,NNP,5,0,0,5,0,0,0,SHOP_NAME
4,6_8,MARKET,NNP,6,0,0,6,0,0,0,SHOP_NAME
4,6_8,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
4,6_8,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
4,6_8,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
4,6_8,road,NN,4,0,0,4,0,0,0,SHOP_ADDRESS
4,6_8,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
4,6_8,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
