receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
20_184,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
20_184,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
20_184,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
20_184,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
20_184,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
20_184,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
20_184,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
20_184,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
20_184,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
20_184,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
20_184,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
20_184,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
20_184,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
20_184,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
20_184,"April,04,2019,13:57",NNP,5,10,4,19,0,3,1,TIME
20_184,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
20_184,282142,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
20_184,User,NNP,4,0,0,4,0,0,0,USER
20_184,sivaa,VBD,5,0,0,5,0,0,0,USER
20_184,milo:nestle:chocolate:180ml,JJ,21,3,3,27,0,0,3,PRODUCT_NAME
20_184,BV00314,NNP,2,5,0,7,0,0,0,BATCH_CODE
20_184,:,:,0,0,1,1,0,0,1,EXTRA
20_184,1,CD,0,1,0,1,0,0,0,QTY
20_184,x,$,1,0,0,1,0,0,0,EXTRA
20_184,50,CD,0,2,0,2,0,0,0,UNIT_PRICE
20_184,=,NNP,0,0,1,1,0,0,0,EXTRA
20_184,50,CD,0,2,0,2,0,0,0,AMOUNT
20_184,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
20_184,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
20_184,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
20_184,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
20_184,1,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
20_184,Total,NN,5,0,0,5,0,0,0,TOTAL
20_184,:,:,0,0,1,1,0,0,1,TOTAL
20_184,RS,JJ,2,0,0,2,0,0,0,TOTAL
20_184,50,CD,0,2,0,2,0,0,0,TOTAL
20_184,PAID,VBN,4,0,0,4,0,0,0,CASH
20_184,By,IN,2,0,0,2,0,0,0,CASH
20_184,CASH,NNP,4,0,0,4,0,0,0,CASH
20_184,:,:,0,0,1,1,0,0,1,CASH
20_184,RS,JJ,2,0,0,2,0,0,0,CASH
20_184,50,CD,0,2,0,2,0,0,0,CASH
20_184,Change,NN,6,0,0,6,0,0,0,BALANCE
20_184,:,:,0,0,1,1,0,0,1,BALANCE
20_184,RS,JJ,2,0,0,2,0,0,0,BALANCE
20_184,0,CD,0,1,0,1,0,0,0,BALANCE
20_184,Thank,NNP,5,0,0,5,0,0,0,EXTRA
20_184,You,PRP,3,0,0,3,0,0,0,EXTRA
20_184,For,IN,3,0,0,3,0,0,0,EXTRA
20_184,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
20_184,Notice,NNP,6,0,0,6,0,0,0,EXTRA
20_184,Any,NNP,3,0,0,3,0,0,0,EXTRA
20_184,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
20_184,",",",",0,0,1,1,0,1,0,EXTRA
20_184,return,VBP,6,0,0,6,0,0,0,EXTRA
20_184,the,DT,3,0,0,3,0,0,0,EXTRA
20_184,ittem,NN,5,0,0,5,0,0,0,EXTRA
20_184,(,(,0,0,1,1,0,0,0,EXTRA
20_184,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
20_184,),),0,0,1,1,0,0,0,EXTRA
20_184,&,CC,0,0,1,1,0,0,0,EXTRA
20_184,bill,NN,4,0,0,4,0,0,0,EXTRA
20_184,within,IN,6,0,0,6,0,0,0,EXTRA
20_184,7day,CD,3,1,0,4,0,0,0,EXTRA
20_184,s,NNS,1,0,0,1,0,0,0,EXTRA
20_184,Designed,VBN,8,0,0,8,0,0,0,EXTRA
20_184,by,IN,2,0,0,2,0,0,0,EXTRA
20_184,NVM,NNP,3,0,0,3,0,0,0,EXTRA
20_184,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
20_184,776843023,CD,0,9,0,9,0,0,0,EXTRA
20_184,",",",",0,0,1,1,0,1,0,EXTRA
20_184,113159693,CD,0,9,0,9,0,0,0,EXTRA
22_27 ,15,CD ,0,2,0,2,0,0,0,AMOUNT
11_38,Mega,NNP,4,0,0,4,0,0,0,SHOP_NAME
11_38,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
11_38,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
11_38,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
11_38,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
11_38,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
11_38,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
11_38,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
11_38,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
11_38,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
11_38,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
