receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,1_71,Family,NNP,6,0,0,6,0,0,0,SHOP_NAME
1,1_71,Mart,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,1_71,Northway,NNP,8,0,0,8,0,0,0,SHOP_NAME
1,1_71,#,#,0,0,1,1,0,0,0,SHOP_ADDRESS
1,1_71,184,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,1_71,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,1_71,Palaly,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,1_71,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,1_71,Thirunelveli,NNP,12,0,0,12,0,0,0,SHOP_ADDRESS
1,1_71,Tp,NNP,2,0,0,2,0,0,0,TELEPHONE_NUMBER
1,1_71,CASHIER,NN,7,0,0,7,0,0,0,CASHIER
1,1_71,:,:,0,0,1,1,0,0,1,CASHIER
1,1_71,A,DT,1,0,0,1,0,0,0,CASHIER
1,1_71,SALESMAN,NN,8,0,0,8,0,0,0,CASHIER
1,1_71,:,:,0,0,1,1,0,0,1,CASHIER
1,1_71,0,CD,0,1,0,1,0,0,0,CASHIER
1,1_71,UNIT,NN,4,0,0,4,0,0,0,CASHIER
1,1_71,:,:,0,0,1,1,0,0,1,CASHIER
1,1_71,2,CD,0,1,0,1,0,0,0,CASHIER
1,1_71,Invoice,NN,7,0,0,7,0,0,0,INVOICE_NUMBER
1,1_71,54,CD,0,2,0,2,0,0,0,INVOICE_NUMBER
1,1_71,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
1,1_71,1,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
1,1_71,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
1,1_71,cleaning,NN,8,0,0,8,0,0,0,PRODUCT_NAME
1,1_71,towel,NN,5,0,0,5,0,0,0,PRODUCT_NAME
1,1_71,30900539,CD,0,8,0,8,0,0,0,BATCH_CODE
1,1_71,(,(,0,0,1,1,0,0,0,EXTRA
1,1_71,40,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,1_71,*,RB,0,0,1,1,0,0,0,EXTRA
1,1_71,1,CD,0,1,0,1,0,0,0,QTY
1,1_71,),),0,0,1,1,0,0,0,EXTRA
1,1_71,40,CD,0,2,0,2,0,0,0,AMOUNT
1,1_71,SUB,NNP,3,0,0,3,0,0,0,TOTAL
1,1_71,TOTAL,NNP,5,0,0,5,0,0,0,TOTAL
1,1_71,40,CD,0,2,0,2,0,0,0,TOTAL
1,1_71,CASH,NNP,4,0,0,4,0,0,0,CASH
1,1_71,100,CD,0,3,0,3,0,0,0,CASH
1,1_71,BALANCE,NNP,7,0,0,7,0,0,0,BALANCE
1,1_71,60,CD,0,2,0,2,0,0,0,BALANCE
1,1_71,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEM
1,1_71,of,IN,2,0,0,2,0,0,0,TOTAL_ITEM
1,1_71,Items,NNPS,5,0,0,5,0,0,0,TOTAL_ITEM
1,1_71,:,:,0,0,1,1,0,0,1,TOTAL_ITEM
1,1_71,1,CD,0,1,0,1,0,0,0,TOTAL_ITEM
1,1_71,No,DT,2,0,0,2,0,0,0,TOTAL_COUNT
1,1_71,of,IN,2,0,0,2,0,0,0,TOTAL_COUNT
1,1_71,Pcs,$,3,0,0,3,0,0,0,TOTAL_COUNT
1,1_71,1,CD,0,1,0,1,0,0,0,TOTAL_COUNT
1,1_71,Date,NNP,4,0,0,4,0,0,0,DATE
1,1_71,:,:,0,0,1,1,0,0,1,DATE
1,1_71,8/3/2019,CD,0,6,2,8,0,0,0,DATE
1,1_71,Time,NN,4,0,0,4,0,0,0,TIME
1,1_71,:,:,0,0,1,1,0,0,1,TIME
1,1_71,11:07:29,CD,0,6,2,8,0,0,2,TIME
1,1_71,Loyalty,NNP,7,0,0,7,0,0,0,EXTRA
1,1_71,details,NNS,7,0,0,7,0,0,0,EXTRA
1,1_71,Ref,NNP,3,0,0,3,0,0,0,EXTRA
1,1_71,No,NNP,2,0,0,2,0,0,0,EXTRA
1,1_71,1,NNP,0,1,0,1,0,0,0,EXTRA
1,1_71,Name,NN,4,0,0,4,0,0,0,EXTRA
1,1_71,on,IN,2,0,0,2,0,0,0,EXTRA
1,1_71,card,NN,4,0,0,4,0,0,0,EXTRA
1,1_71,:,:,0,0,1,1,0,0,1,EXTRA
1,1_71,new,JJ,3,0,0,3,0,0,0,EXTRA
1,1_71,reg,NN,3,0,0,3,0,0,0,EXTRA
1,1_71,1002221,CD,0,7,0,7,0,0,0,EXTRA
1,1_71,Balance,NN,7,0,0,7,0,0,0,EXTRA
1,1_71,:,:,0,0,1,1,0,0,1,EXTRA
1,1_71,12.14,CD,0,4,1,5,1,0,0,EXTRA
1,1_71,Earns,NNS,5,0,0,5,0,0,0,EXTRA
1,1_71,:,:,0,0,1,1,0,0,1,EXTRA
1,1_71,0.2,CD,0,2,1,3,1,0,0,EXTRA
1,1_71,ACC,NNP,3,0,0,3,0,0,0,EXTRA
1,1_71,balance,NN,7,0,0,7,0,0,0,EXTRA
1,1_71,:,:,0,0,1,1,0,0,1,EXTRA
