receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1_71,Family,NNP,6,0,0,6,0,0,0,SHOP_NAME
1_71,Mart,NNP,4,0,0,4,0,0,0,SHOP_NAME
1_71,Northway,NNP,8,0,0,8,0,0,0,SHOP_NAME
1_71,#,#,0,0,1,1,0,0,0,SHOP_ADDRESS
1_71,184,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1_71,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1_71,Palaly,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1_71,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1_71,Thirunelveli,NNP,12,0,0,12,0,0,0,SHOP_ADDRESS
1_71,Tp,NNP,2,0,0,2,0,0,0,TELEPHONE_NUMBER
1_71,CASHIER,NN,7,0,0,7,0,0,0,CASHIER
1_71,:,:,0,0,1,1,0,0,1,CASHIER
1_71,A,DT,1,0,0,1,0,0,0,CASHIER
1_71,SALESMAN,NN,8,0,0,8,0,0,0,CASHIER
1_71,:,:,0,0,1,1,0,0,1,CASHIER
1_71,0,CD,0,1,0,1,0,0,0,CASHIER
1_71,UNIT,NN,4,0,0,4,0,0,0,CASHIER
1_71,:,:,0,0,1,1,0,0,1,CASHIER
1_71,2,CD,0,1,0,1,0,0,0,CASHIER
1_71,Invoice,NN,7,0,0,7,0,0,0,INVOICE_NUMBER
1_71,54,CD,0,2,0,2,0,0,0,INVOICE_NUMBER
1_71,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
1_71,1,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
1_71,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
1_71,cleaning,NN,8,0,0,8,0,0,0,PRODUCT_NAME
1_71,towel,NN,5,0,0,5,0,0,0,PRODUCT_NAME
1_71,30900539,CD,0,8,0,8,0,0,0,BATCH_CODE
1_71,(,(,0,0,1,1,0,0,0,EXTRA
1_71,40,CD,0,2,0,2,0,0,0,UNIT_PRICE
1_71,*,RB,0,0,1,1,0,0,0,EXTRA
1_71,1,CD,0,1,0,1,0,0,0,QTY
1_71,),),0,0,1,1,0,0,0,EXTRA
1_71,40,CD,0,2,0,2,0,0,0,AMOUNT
1_71,SUB,NNP,3,0,0,3,0,0,0,TOTAL
1_71,TOTAL,NNP,5,0,0,5,0,0,0,TOTAL
1_71,40,CD,0,2,0,2,0,0,0,TOTAL
