receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,1_52,ANNAI,NNP,5,0,0,5,0,0,0,SHOP_NAME
1,1_52,NAGA,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,1_52,FOOD,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,1_52,CITY,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,1_52,341,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,1_52,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,1_52,POINT,NNP,5,0,0,5,0,0,0,SHOP_ADDRESS
1,1_52,PEDRO,NNP,5,0,0,5,0,0,0,SHOP_ADDRESS
1,1_52,ROAD,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,1_52,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,1_52,NALLUR,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,1_52,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,1_52,JAFFNA,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,1_52,021-4927082,NNP,0,10,1,11,0,0,0,TELEPHONE_NUMBER
1,1_52,INVOICE,NNP,7,0,0,7,0,0,0,EXTRA
1,1_52,CASHIER,NNP,7,0,0,7,0,0,0,CASHIER
1,1_52,:,:,0,0,1,1,0,0,1,CASHIER
1,1_52,KIRU,NNP,4,0,0,4,0,0,0,CASHIER
1,1_52,INV.NO,NNP,5,0,1,6,1,0,0,INVOICE_NUMBER
1,1_52,1086002,CD,0,7,0,7,0,0,0,INVOICE_NUMBER
1,1_52,DATE,NNP,4,0,0,4,0,0,0,DATE
1,1_52,:,:,0,0,1,1,0,0,1,DATE
1,1_52,26/03/2019,CD,0,8,2,10,0,0,0,DATE
1,1_52,TIME,NN,4,0,0,4,0,0,0,TIME
1,1_52,:,:,0,0,1,1,0,0,1,TIME
1,1_52,18:51:46,CD,0,6,2,8,0,0,2,TIME
1,1_52,PRODUCT,NNP,7,0,0,7,0,0,0,PRODUCT_NAME
1,1_52,PRICE,NNP,5,0,0,5,0,0,0,UNIT_PRICE
1,1_52,QTY,NNP,3,0,0,3,0,0,0,QTY
1,1_52,AMOUNT,NNP,6,0,0,6,0,0,0,AMOUNT
1,1_52,SUN,NNP,3,0,0,3,0,0,0,PRODUCT_NAME
1,1_52,RICE,NNP,4,0,0,4,0,0,0,PRODUCT_NAME
1,1_52,SEMOLINA,NNP,8,0,0,8,0,0,0,PRODUCT_NAME
1,1_52,FLOUR,NNP,5,0,0,5,0,0,0,PRODUCT_NAME
1,1_52,O1,NNP,1,1,0,2,0,0,0,PRODUCT_NAME
1,1_52,KG,NNP,2,0,0,2,0,0,0,PRODUCT_NAME
1,1_52,58,CD,0,2,0,2,0,0,0,BATCH_CODE
1,1_52,130,CD,0,3,0,3,0,0,0,UNIT_PRICE
1,1_52,1,CD,0,1,0,1,0,0,0,QTY
1,1_52,130,CD,0,3,0,3,0,0,0,AMOUNT
1,1_52,PLUMS,NNP,5,0,0,5,0,0,0,PRODUCT_NAME
1,1_52,100,CD,0,3,0,3,0,0,0,PRODUCT_NAME
1,1_52,G,NNP,1,0,0,1,0,0,0,PRODUCT_NAME
1,1_52,29,CD,0,2,0,2,0,0,0,BATCH_CODE
1,1_52,90,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,1_52,1,CD,0,1,0,1,0,0,0,QTY
1,1_52,90,CD,0,2,0,2,0,0,0,AMOUNT
1,1_52,TOTAL,NNPS,5,0,0,5,0,0,0,TOTAL_ITEM
1,1_52,ITEMS,NNP,5,0,0,5,0,0,0,TOTAL_ITEM
1,1_52,2,CD,0,1,0,1,0,0,0,TOTAL_ITEM
1,1_52,TOTAL,NNP,5,0,0,5,0,0,0,TOTAL_QTY
1,1_52,QTY,NNP,3,0,0,3,0,0,0,TOTAL_QTY
1,1_52,2,CD,0,1,0,1,0,0,0,TOTAL_QTY
1,1_52,NET,NNP,3,0,0,3,0,0,0,TOTAL
1,1_52,TOTAL,NNP,5,0,0,5,0,0,0,TOTAL
1,1_52,220,CD,0,3,0,3,0,0,0,TOTAL
1,1_52,CASH,NNP,4,0,0,4,0,0,0,CASH
1,1_52,5000,CD,0,4,0,4,0,0,0,CASH
1,1_52,CHANGE,NNP,6,0,0,6,0,0,0,BALANCE
1,1_52,4780,CD,0,4,0,4,0,0,0,BALANCE
1,1_52,IN,NNP,2,0,0,2,0,0,0,EXTRA
1,1_52,CASE,NNP,4,0,0,4,0,0,0,EXTRA
1,1_52,OF,NNP,2,0,0,2,0,0,0,EXTRA
1,1_52,PRICE,NNP,5,0,0,5,0,0,0,EXTRA
1,1_52,DISCREPANCY,NNP,11,0,0,11,0,0,0,EXTRA
1,1_52,RETURN,NNP,6,0,0,6,0,0,0,EXTRA
1,1_52,THE,NNP,3,0,0,3,0,0,0,EXTRA
1,1_52,ITEM,NNP,4,0,0,4,0,0,0,EXTRA
1,1_52,&,CC,0,0,1,1,0,0,0,EXTRA
1,1_52,BILL,NNP,4,0,0,4,0,0,0,EXTRA
1,1_52,WITHIN,NNP,6,0,0,6,0,0,0,EXTRA
1,1_52,7,CD,0,1,0,1,0,0,0,EXTRA
1,1_52,DAYS,NNP,4,0,0,4,0,0,0,EXTRA
1,1_52,TO,NNP,2,0,0,2,0,0,0,EXTRA
1,1_52,REFUND,NNP,6,0,0,6,0,0,0,EXTRA
1,1_52,THE,NNP,3,0,0,3,0,0,0,EXTRA
1,1_52,DIFFERENCE,NNP,10,0,0,10,0,0,0,EXTRA
1,1_52,0,0,0,1,0,1,0,0,0,EXTRA
1,1_52,$,$,0,0,1,1,0,0,0,EXTRA
1,1_52,THANKS,NNP,6,0,0,6,0,0,0,EXTRA
1,1_52,FOR,NNP,3,0,0,3,0,0,0,EXTRA
1,1_52,MAKING,NNP,6,0,0,6,0,0,0,EXTRA
1,1_52,YOUR,NNP,4,0,0,4,0,0,0,EXTRA
1,1_52,PURCHASE,NNP,8,0,0,8,0,0,0,EXTRA
1,1_52,$,$,0,0,1,1,0,0,0,EXTRA
1,1_52,Software,NNP,8,0,0,8,0,0,0,EXTRA
1,1_52,by,IN,2,0,0,2,0,0,0,EXTRA
1,1_52,myPOS,JJ,5,0,0,5,0,0,0,EXTRA
1,1_52,0114-500199,JJ,0,10,1,11,0,0,0,EXTRA
1,1_52,www.mypos.lk,NN,10,0,2,12,2,0,0,EXTRA
2,1_99,ANNAI,NNP,5,0,0,5,0,0,0,SHOP_NAME
2,1_99,NAGA,NNP,4,0,0,4,0,0,0,SHOP_NAME
2,1_99,FOOD,NNP,4,0,0,4,0,0,0,SHOP_NAME
2,1_99,CITY,NNP,4,0,0,4,0,0,0,SHOP_NAME
2,1_99,341,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
2,1_99,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,1_99,POINT,NNP,5,0,0,5,0,0,0,SHOP_ADDRESS
2,1_99,PEDRO,NNP,5,0,0,5,0,0,0,SHOP_ADDRESS
2,1_99,ROAD,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
2,1_99,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,1_99,NALLUR,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
2,1_99,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,1_99,JAFFNA,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
2,1_99,021-4927082,NNP,0,10,1,11,0,0,0,TELEPHONE_NUMBER
2,1_99,INVOICE,NNP,7,0,0,7,0,0,0,EXTRA
2,1_99,CASHIER,NNP,7,0,0,7,0,0,0,CASHIER
2,1_99,:,:,0,0,1,1,0,0,1,CASHIER
2,1_99,KIRU,NNP,4,0,0,4,0,0,0,CASHIER
2,1_99,INV.NO,NNP,5,0,1,6,1,0,0,INVOICE_NUMBER
2,1_99,1084002,CD,0,7,0,7,0,0,0,INVOICE_NUMBER
2,1_99,DATE,NNP,4,0,0,4,0,0,0,DATE
2,1_99,:,:,0,0,1,1,0,0,1,DATE
2,1_99,19/03/2019,CD,0,8,2,10,0,0,0,DATE
2,1_99,TIME,NN,4,0,0,4,0,0,0,TIME
2,1_99,:,:,0,0,1,1,0,0,1,TIME
2,1_99,12:35:41,CD,0,6,2,8,0,0,2,TIME
2,1_99,PRODUCT,NNP,7,0,0,7,0,0,0,PRODUCT_NAME
2,1_99,PRICE,NNP,5,0,0,5,0,0,0,UNIT_PRICE
2,1_99,QTY,NNP,3,0,0,3,0,0,0,QTY
2,1_99,AMOUNT,NNP,6,0,0,6,0,0,0,AMOUNT
