receipt_index,receipt_number,word,POS,tag
1,1_52,ANNAI,NNP,SHOP_NAME
1,1_52,NAGA,NNP,SHOP_NAME
1,1_52,FOOD,NNP,SHOP_NAME
1,1_52,CITY,NNP,SHOP_NAME
1,1_52,341,CD,SHOP_ADDRESS
1,1_52,",",",",SHOP_ADDRESS
1,1_52,POINT,NNP,SHOP_ADDRESS
1,1_52,PEDRO,NNP,SHOP_ADDRESS
1,1_52,ROAD,NNP,SHOP_ADDRESS
1,1_52,",",",",SHOP_ADDRESS
1,1_52,NALLUR,NNP,SHOP_ADDRESS
1,1_52,",",",",SHOP_ADDRESS
1,1_52,JAFFNA,NNP,SHOP_ADDRESS
1,1_52,021-4927082,NNP,TELEPHONE_NUMBER
1,1_52,INVOICE,NNP,EXTRA
1,1_52,CASHIER,NNP,CASHIER
1,1_52,:,:,CASHIER
1,1_52,KIRU,NNP,CASHIER
1,1_52,INV.NO,NNP,INVOICE_NUMBER
1,1_52,1086002,CD,INVOICE_NUMBER
1,1_52,DATE,NNP,DATE
1,1_52,:,:,DATE
1,1_52,26/03/2019,CD,DATE
1,1_52,TIME,NN,TIME
1,1_52,:,:,TIME
1,1_52,18:51:46,CD,TIME
1,1_52,PRODUCT,NNP,PRODUCT_NAME
1,1_52,PRICE,NNP,UNIT_PRICE
1,1_52,QTY,NNP,QTY
1,1_52,AMOUNT,NNP,AMOUNT
1,1_52,SUN,NNP,PRODUCT_NAME
1,1_52,RICE,NNP,PRODUCT_NAME
1,1_52,SEMOLINA,NNP,PRODUCT_NAME
1,1_52,FLOUR,NNP,PRODUCT_NAME
1,1_52,O1,NNP,PRODUCT_NAME
1,1_52,KG,NNP,PRODUCT_NAME
1,1_52,58,CD,BATCH_CODE
1,1_52,130,CD,UNIT_PRICE
1,1_52,1,CD,QTY
1,1_52,130,CD,AMOUNT
1,1_52,PLUMS,NNP,PRODUCT_NAME
1,1_52,100,CD,PRODUCT_NAME
1,1_52,G,NNP,PRODUCT_NAME
1,1_52,29,CD,BATCH_CODE
1,1_52,90,CD,UNIT_PRICE
1,1_52,1,CD,QTY
1,1_52,90,CD,AMOUNT
1,1_52,TOTAL,NNPS,TOTAL_ITEM
1,1_52,ITEMS,NNP,TOTAL_ITEM
1,1_52,2,CD,TOTAL_ITEM
1,1_52,TOTAL,NNP,TOTAL_QTY
1,1_52,QTY,NNP,TOTAL_QTY
1,1_52,2,CD,TOTAL_QTY
1,1_52,NET,NNP,TOTAL
1,1_52,TOTAL,NNP,TOTAL
1,1_52,220,CD,TOTAL
1,1_52,CASH,NNP,CASH
1,1_52,5000,CD,CASH
1,1_52,CHANGE,NNP,BALANCE
1,1_52,4780,CD,BALANCE
1,1_52,IN,NNP,EXTRA
1,1_52,CASE,NNP,EXTRA
1,1_52,OF,NNP,EXTRA
1,1_52,PRICE,NNP,EXTRA
1,1_52,DISCREPANCY,NNP,EXTRA
1,1_52,RETURN,NNP,EXTRA
1,1_52,THE,NNP,EXTRA
1,1_52,ITEM,NNP,EXTRA
1,1_52,&,CC,EXTRA
1,1_52,BILL,NNP,EXTRA
1,1_52,WITHIN,NNP,EXTRA
1,1_52,7,CD,EXTRA
1,1_52,DAYS,NNP,EXTRA
1,1_52,TO,NNP,EXTRA
1,1_52,REFUND,NNP,EXTRA
1,1_52,THE,NNP,EXTRA
1,1_52,DIFFERENCE,NNP,EXTRA
1,1_52,0,0,EXTRA
1,1_52,$,$,EXTRA
1,1_52,THANKS,NNP,EXTRA
1,1_52,FOR,NNP,EXTRA
1,1_52,MAKING,NNP,EXTRA
1,1_52,YOUR,NNP,EXTRA
1,1_52,PURCHASE,NNP,EXTRA
1,1_52,$,$,EXTRA
1,1_52,Software,NNP,EXTRA
1,1_52,by,IN,EXTRA
1,1_52,myPOS,JJ,EXTRA
1,1_52,0114-500199,JJ,EXTRA
1,1_52,www.mypos.lk,NN,EXTRA
2,1_99,ANNAI,NNP,SHOP_NAME
2,1_99,NAGA,NNP,SHOP_NAME
2,1_99,FOOD,NNP,SHOP_NAME
2,1_99,CITY,NNP,SHOP_NAME
2,1_99,341,CD,SHOP_ADDRESS
2,1_99,",",",",SHOP_ADDRESS
2,1_99,POINT,NNP,SHOP_ADDRESS
2,1_99,PEDRO,NNP,SHOP_ADDRESS
2,1_99,ROAD,NNP,SHOP_ADDRESS
