receipt_number,word,POS,tag,
3_1,Mega,JJ,SHOP_NAME,
3_1,Mall,NNP,SHOP_NAME,
3_1,Super,NNP,SHOP_NAME,
3_1,Market,NNP,SHOP_NAME,
3_1,114,CD,SHOP_ADDRESS,
3_1,",",",",SHOP_ADDRESS,
3_1,Navalar,NNP,SHOP_ADDRESS,
3_1,Road,NNP,SHOP_ADDRESS,
3_1,",",",",SHOP_ADDRESS,
3_1,Jaffna,NNP,SHOP_ADDRESS,
3_1,TEL,NNP,TELEPHONE_NUMBER,
3_1,:021,VBD,TELEPHONE_NUMBER,
3_1,222,CD,TELEPHONE_NUMBER,
3_1,4343,CD,TELEPHONE_NUMBER,
3_1,"March,23,2019,11:55",NNP,TIME,
3_1,Ref,NNP,INVOICE_NUMBER,
3_1,278544,CD,INVOICE_NUMBER,
3_1,User,NNP,USER,
3_1,sivaa,JJ,USER,
3_1,Ice,NNP,PRODUCT_NAME,
3_1,cream:elephant:necto,NN,PRODUCT_NAME,
3_1,IC00131,NNP,BATCH_CODE,
3_1,:,:,EXTRA,`
3_1,4,CD,QTY,
3_1,x,$,EXTRA,
3_1,10,CD,UNIT_PRICE,
3_1,=,JJ,EXTRA,
3_1,40,CD,AMOUNT,
3_1,Sunsilk:shampoo:6.5ml,JJ,PRODUCT_NAME,
3_1,PC01064,NNP,BATCH_CODE,
3_1,:,:,EXTRA,
3_1,3,CD,QTY,
3_1,x,$,EXTRA,
3_1,8,CD,UNIT_PRICE,
3_1,=,NNP,EXTRA,
3_1,24,CD,AMOUNT,
3_1,No,NNP,TOTAL_ITEMS,
3_1,of,IN,TOTAL_ITEMS,
3_1,item,NN,TOTAL_ITEMS,
3_1,:,:,TOTAL_ITEMS,
3_1,2,CD,TOTAL_ITEMS,
3_1,Total,NN,TOTAL,
3_1,:,:,TOTAL,
3_1,RS,JJ,TOTAL,
3_1,64,CD,TOTAL,
3_1,Paid,VBN,CASH,
3_1,by,IN,CASH,
3_1,cash,NN,CASH,
3_1,:,:,CASH,
3_1,RS,JJ,CASH,
3_1,100,CD,CASH,
3_1,Change,NN,BALANCE,
3_1,:,:,BALANCE,
3_1,RS,JJ,BALANCE,
3_1,36,CD,BALANCE,
3_1,Thank,NNP,EXTRA,
3_1,You,PRP,EXTRA,
3_1,For,IN,EXTRA,
3_1,Shopping,VBG,EXTRA,
3_1,Notice,NNP,EXTRA,
3_1,Any,NNP,EXTRA,
3_1,Discrepancy,NNP,EXTRA,
3_1,",",",",EXTRA,
3_1,return,VBP,EXTRA,
3_1,the,DT,EXTRA,
3_1,item,NN,EXTRA,
