receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,3_1,Mega,JJ,4,0,0,4,0,0,0,SHOP_NAME
1,3_1,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,3_1,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
1,3_1,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
1,3_1,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,3_1,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,3_1,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
1,3_1,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,3_1,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,3_1,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,3_1,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
1,3_1,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
1,3_1,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
1,3_1,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
1,3_1,"March,23,2019,11:55",NNP,5,10,4,19,0,3,1,TIME
1,3_1,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
1,3_1,278544,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
1,3_1,User,NNP,4,0,0,4,0,0,0,USER
1,3_1,sivaa,JJ,5,0,0,5,0,0,0,USER
1,3_1,Ice,NNP,3,0,0,3,0,0,0,PRODUCT_NAME
1,3_1,cream:elephant:necto,NN,18,0,2,20,0,0,2,PRODUCT_NAME
1,3_1,IC00131,NNP,2,5,0,7,0,0,0,BATCH_CODE
1,3_1,:,:,0,0,1,1,0,0,1,EXTRA
1,3_1,4,CD,0,1,0,1,0,0,0,QTY
1,3_1,x,$,1,0,0,1,0,0,0,EXTRA
1,3_1,10,CD,0,2,0,2,0,0,0,UNIT_PRICE
1,3_1,=,JJ,0,0,1,1,0,0,0,EXTRA
1,3_1,40,CD,0,2,0,2,0,0,0,AMOUNT
1,3_1,Sunsilk:shampoo:6.5ml,JJ,16,2,3,21,1,0,2,PRODUCT_NAME
1,3_1,PC01064,NNP,2,5,0,7,0,0,0,BATCH_CODE
1,3_1,:,:,0,0,1,1,0,0,1,EXTRA
1,3_1,3,CD,0,1,0,1,0,0,0,QTY
1,3_1,x,$,1,0,0,1,0,0,0,EXTRA
1,3_1,8,CD,0,1,0,1,0,0,0,UNIT_PRICE
1,3_1,=,NNP,0,0,1,1,0,0,0,EXTRA
1,3_1,24,CD,0,2,0,2,0,0,0,AMOUNT
1,3_1,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
1,3_1,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
1,3_1,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
1,3_1,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
1,3_1,2,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
1,3_1,Total,NN,5,0,0,5,0,0,0,TOTAL
1,3_1,:,:,0,0,1,1,0,0,1,TOTAL
1,3_1,RS,JJ,2,0,0,2,0,0,0,TOTAL
1,3_1,64,CD,0,2,0,2,0,0,0,TOTAL
1,3_1,Paid,VBN,4,0,0,4,0,0,0,CASH
1,3_1,by,IN,2,0,0,2,0,0,0,CASH
1,3_1,cash,NN,4,0,0,4,0,0,0,CASH
1,3_1,:,:,0,0,1,1,0,0,1,CASH
1,3_1,RS,JJ,2,0,0,2,0,0,0,CASH
1,3_1,100,CD,0,3,0,3,0,0,0,CASH
1,3_1,Change,NN,6,0,0,6,0,0,0,BALANCE
1,3_1,:,:,0,0,1,1,0,0,1,BALANCE
1,3_1,RS,JJ,2,0,0,2,0,0,0,BALANCE
1,3_1,36,CD,0,2,0,2,0,0,0,BALANCE
1,3_1,Thank,NNP,5,0,0,5,0,0,0,EXTRA
1,3_1,You,PRP,3,0,0,3,0,0,0,EXTRA
1,3_1,For,IN,3,0,0,3,0,0,0,EXTRA
1,3_1,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
1,3_1,Notice,NNP,6,0,0,6,0,0,0,EXTRA
1,3_1,Any,NNP,3,0,0,3,0,0,0,EXTRA
1,3_1,Discrepancy,NNP,11,0,0,11,0,0,0,EXTRA
1,3_1,",",",",0,0,1,1,0,1,0,EXTRA
1,3_1,return,VBP,6,0,0,6,0,0,0,EXTRA
1,3_1,the,DT,3,0,0,3,0,0,0,EXTRA
1,3_1,item,NN,4,0,0,4,0,0,0,EXTRA
1,3_1,(,(,0,0,1,1,0,0,0,EXTRA
1,3_1,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
1,3_1,),),0,0,1,1,0,0,0,EXTRA
1,3_1,&,CC,0,0,1,1,0,0,0,EXTRA
1,3_1,bill,NN,4,0,0,4,0,0,0,EXTRA
1,3_1,within,IN,6,0,0,6,0,0,0,EXTRA
1,3_1,7days,CD,4,1,0,5,0,0,0,EXTRA
1,3_1,Designed,VBN,8,0,0,8,0,0,0,EXTRA
1,3_1,by,IN,2,0,0,2,0,0,0,EXTRA
1,3_1,NVM,NNP,3,0,0,3,0,0,0,EXTRA
1,3_1,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
1,3_1,776843023,CD,0,9,0,9,0,0,0,EXTRA
1,3_1,",",",",0,0,1,1,0,1,0,EXTRA
1,3_1,113159693,CD,0,9,0,9,0,0,0,EXTRA
2,3_19,Mega,JJ,4,0,0,4,0,0,0,SHOP_NAME
2,3_19,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
2,3_19,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
2,3_19,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
2,3_19,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
2,3_19,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,3_19,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
2,3_19,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
2,3_19,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,3_19,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
2,3_19,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
2,3_19,:021,VBD,0,3,1,4,0,0,1,TELEPHONE_NUMBER
2,3_19,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
2,3_19,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
2,3_19,"March,20,2019,13:12",NNP,5,10,4,19,0,3,1,TIME
2,3_19,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
