receipt_index,receipt_number,word,POS,tag,Unnamed: 4
1,3_1,Mega,JJ,SHOP_NAME,
1,3_1,Mall,NNP,SHOP_NAME,
1,3_1,Super,NNP,SHOP_NAME,
1,3_1,Market,NNP,SHOP_NAME,
1,3_1,114,CD,SHOP_ADDRESS,
1,3_1,",",",",SHOP_ADDRESS,
1,3_1,Navalar,NNP,SHOP_ADDRESS,
1,3_1,Road,NNP,SHOP_ADDRESS,
1,3_1,",",",",SHOP_ADDRESS,
1,3_1,Jaffna,NNP,SHOP_ADDRESS,
1,3_1,TEL,NNP,TELEPHONE_NUMBER,
1,3_1,:021,VBD,TELEPHONE_NUMBER,
1,3_1,222,CD,TELEPHONE_NUMBER,
1,3_1,4343,CD,TELEPHONE_NUMBER,
1,3_1,"March,23,2019,11:55",NNP,TIME,
1,3_1,Ref,NNP,INVOICE_NUMBER,
1,3_1,278544,CD,INVOICE_NUMBER,
1,3_1,User,NNP,USER,
1,3_1,sivaa,JJ,USER,
1,3_1,Ice,NNP,PRODUCT_NAME,
1,3_1,cream:elephant:necto,NN,PRODUCT_NAME,
1,3_1,IC00131,NNP,BATCH_CODE,
1,3_1,:,:,EXTRA,`
1,3_1,4,CD,QTY,`
1,3_1,x,$,EXTRA,`
1,3_1,10,CD,UNIT_PRICE,`
1,3_1,=,JJ,EXTRA,`
1,3_1,40,CD,AMOUNT,`
1,3_1,Sunsilk:shampoo:6.5ml,JJ,PRODUCT_NAME,`
1,3_1,PC01064,NNP,BATCH_CODE,`
1,3_1,:,:,EXTRA,`
1,3_1,3,CD,QTY,`
1,3_1,x,$,EXTRA,`
1,3_1,8,CD,UNIT_PRICE,`
1,3_1,=,NNP,EXTRA,`
1,3_1,24,CD,AMOUNT,`
1,3_1,No,NNP,TOTAL_ITEMS,`
1,3_1,of,IN,TOTAL_ITEMS,`
1,3_1,item,NN,TOTAL_ITEMS,`
1,3_1,:,:,TOTAL_ITEMS,`
1,3_1,2,CD,TOTAL_ITEMS,`
1,3_1,Total,NN,TOTAL,`
1,3_1,:,:,TOTAL,`
1,3_1,RS,JJ,TOTAL,`
1,3_1,64,CD,TOTAL,`
1,3_1,Paid,VBN,CASH,`
1,3_1,by,IN,CASH,`
1,3_1,cash,NN,CASH,`
1,3_1,:,:,CASH,`
1,3_1,RS,JJ,CASH,`
1,3_1,100,CD,CASH,`
1,3_1,Change,NN,BALANCE,`
1,3_1,:,:,BALANCE,`
1,3_1,RS,JJ,BALANCE,`
1,3_1,36,CD,BALANCE,`
1,3_1,Thank,NNP,EXTRA,`
1,3_1,You,PRP,EXTRA,`
1,3_1,For,IN,EXTRA,`
1,3_1,Shopping,VBG,EXTRA,`
1,3_1,Notice,NNP,EXTRA,`
1,3_1,Any,NNP,EXTRA,`
1,3_1,Discrepancy,NNP,EXTRA,`
1,3_1,",",",",EXTRA,`
1,3_1,return,VBP,EXTRA,`
1,3_1,the,DT,EXTRA,`
1,3_1,item,NN,EXTRA,`
1,3_1,(,(,EXTRA,`
1,3_1,exchangeable*,NN,EXTRA,`
1,3_1,),),EXTRA,`
1,3_1,&,CC,EXTRA,`
1,3_1,bill,NN,EXTRA,`
1,3_1,within,IN,EXTRA,`
1,3_1,7days,CD,EXTRA,`
1,3_1,Designed,VBN,EXTRA,`
1,3_1,by,IN,EXTRA,`
1,3_1,NVM,NNP,EXTRA,`
1,3_1,SOLUTIONS,NNP,EXTRA,`
1,3_1,776843023,CD,EXTRA,`
1,3_1,",",",",EXTRA,`
1,3_1,113159693,CD,EXTRA,`
2,3_19,Mega,JJ,SHOP_NAME,`
2,3_19,Mall,NNP,SHOP_NAME,`
2,3_19,Super,NNP,SHOP_NAME,`
2,3_19,Market,NNP,SHOP_NAME,`
2,3_19,114,CD,SHOP_ADDRESS,`
2,3_19,",",",",SHOP_ADDRESS,`
2,3_19,Navalar,NNP,SHOP_ADDRESS,`
2,3_19,Road,NNP,SHOP_ADDRESS,`
2,3_19,",",",",SHOP_ADDRESS,`
2,3_19,Jaffna,NNP,SHOP_ADDRESS,`
2,3_19,TEL,NNP,TELEPHONE_NUMBER,`
2,3_19,:021,VBD,TELEPHONE_NUMBER,`
2,3_19,222,CD,TELEPHONE_NUMBER,`
2,3_19,4343,CD,TELEPHONE_NUMBER,`
2,3_19,"March,20,2019,13:12",NNP,TIME,`
2,3_19,Ref,NNP,INVOICE_NUMBER,`
2,3_19,277668,CD,INVOICE_NUMBER,`
2,3_19,User,NNP,USER,`
2,3_19,sivaa,VBD,USER,`
2,3_19,7up,CD,PRODUCT_NAME,`
2,3_19,:,:,EXTRA,`
2,3_19,500ml,CD,PRODUCT_NAME,`
2,3_19,RV00147,NN,BATCH_CODE,`
2,3_19,:,:,EXTRA,`
2,3_19,1,CD,QTY,`
2,3_19,x100.00,NN,UNIT_PRICE,`
2,3_19,=,VBD,EXTRA,`
2,3_19,100,CD,AMOUNT,`
2,3_19,No,NNP,TOTAL_ITEMS,`
2,3_19,of,IN,TOTAL_ITEMS,`
2,3_19,item,NN,TOTAL_ITEMS,`
2,3_19,:,:,TOTAL_ITEMS,`
2,3_19,1,CD,TOTAL_ITEMS,`
2,3_19,Total,NN,TOTAL,`
2,3_19,:,:,TOTAL,`
2,3_19,RS,JJ,TOTAL,`
2,3_19,100,CD,TOTAL,`
2,3_19,Paid,VBN,CASH,`
2,3_19,by,IN,CASH,`
2,3_19,cash,NN,CASH,`
2,3_19,:,:,CASH,`
2,3_19,RS,JJ,CASH,`
2,3_19,100,CD,BALANCE,`
2,3_19,Change,NN,BALANCE,`
2,3_19,:,:,BALANCE,`
2,3_19,RS,JJ,BALANCE,`
2,3_19,0,CD,BALANCE,`
2,3_19,Thank,NNP,EXTRA,`
2,3_19,You,PRP,EXTRA,`
2,3_19,For,IN,EXTRA,`
2,3_19,Shopping,VBG,EXTRA,`
2,3_19,Notice,NNP,EXTRA,`
2,3_19,Any,NNP,EXTRA,`
2,3_19,Discrepancy,NNP,EXTRA,`
2,3_19,",",",",EXTRA,`
2,3_19,return,VBP,EXTRA,`
2,3_19,the,DT,EXTRA,`
2,3_19,item,NN,EXTRA,`
2,3_19,(,(,EXTRA,`
2,3_19,exchangeable*,NN,EXTRA,`
2,3_19,),),EXTRA,`
2,3_19,&,CC,EXTRA,`
2,3_19,bill,NN,EXTRA,`
2,3_19,within,IN,EXTRA,`
2,3_19,7,CD,EXTRA,`
2,3_19,days,NNS,EXTRA,`
2,3_19,Designed,VBN,EXTRA,`
2,3_19,by,IN,EXTRA,`
2,3_19,NVM,NNP,EXTRA,`
2,3_19,SOLUTIONS,NNP,EXTRA,`
2,3_19,776843023,CD,EXTRA,`
2,3_19,",",",",EXTRA,`
2,3_19,113159693,CD,EXTRA,`
3,3_6,Mega,JJ,SHOP_NAME,`
3,3_6,Mall,NNP,SHOP_NAME,`
3,3_6,Super,NNP,SHOP_NAME,`
3,3_6,Market,NNP,SHOP_NAME,`
3,3_6,114,CD,SHOP_ADDRESS,`
3,3_6,",",",",SHOP_ADDRESS,`
3,3_6,Navalar,NNP,SHOP_ADDRESS,`
3,3_6,Road,NNP,SHOP_ADDRESS,`
3,3_6,",",",",SHOP_ADDRESS,`
3,3_6,Jaffna,NNP,SHOP_ADDRESS,`
3,3_6,TEL,NNP,TELEPHONE_NUMBER,`
3,3_6,:021,VBD,TELEPHONE_NUMBER,`
3,3_6,222,CD,TELEPHONE_NUMBER,`
3,3_6,4343,CD,TELEPHONE_NUMBER,`
3,3_6,"March,20,2019,13:26",NNP,TIME,`
3,3_6,Ref,NNP,INVOICE_NUMBER,`
3,3_6,277675,CD,INVOICE_NUMBER,`
3,3_6,User,NNP,USER,`
3,3_6,sivaa,NN,USER,`
3,3_6,Papadam,NNP,PRODUCT_NAME,`
3,3_6,:,:,PRODUCT_NAME,`
3,3_6,ruhunu,NN,PRODUCT_NAME,`
3,3_6,:,:,PRODUCT_NAME,`
3,3_6,50g,CD,PRODUCT_NAME,`
3,3_6,GY01361,NNP,BATCH_CODE,`
3,3_6,:,:,EXTRA,`
3,3_6,1,CD,QTY,`
3,3_6,x35.00,NN,UNIT_PRICE,`
3,3_6,=,VBD,EXTRA,`
3,3_6,35,CD,AMOUNT,`
3,3_6,No,NNP,TOTAL_ITEMS,`
3,3_6,of,IN,TOTAL_ITEMS,`
3,3_6,item,NN,TOTAL_ITEMS,`
3,3_6,:,:,TOTAL_ITEMS,`
3,3_6,1,CD,TOTAL_ITEMS,`
3,3_6,Total,NN,TOTAL,`
3,3_6,:,:,TOTAL,`
3,3_6,RS,JJ,TOTAL,`
3,3_6,35,CD,TOTAL,`
3,3_6,Paid,VBN,CASH,`
3,3_6,by,IN,CASH,`
3,3_6,cash,NN,CASH,`
3,3_6,:,:,CASH,`
3,3_6,RS,JJ,CASH,`
3,3_6,40,CD,CASH,`
3,3_6,Change,NN,BALANCE,`
3,3_6,:,:,BALANCE,`
3,3_6,RS,JJ,BALANCE,`
3,3_6,5,CD,BALANCE,`
3,3_6,Thank,NNP,EXTRA,`
3,3_6,You,PRP,EXTRA,`
3,3_6,For,IN,EXTRA,`
3,3_6,Shopping,VBG,EXTRA,`
3,3_6,Notice,NNP,EXTRA,`
3,3_6,Any,NNP,EXTRA,`
3,3_6,Discrepancy,NNP,EXTRA,`
3,3_6,",",",",EXTRA,`
3,3_6,return,VBP,EXTRA,`
3,3_6,the,DT,EXTRA,`
3,3_6,item,NN,EXTRA,`
3,3_6,(,(,EXTRA,`
3,3_6,exchangeable*,NN,EXTRA,`
3,3_6,),),EXTRA,`
3,3_6,&,CC,EXTRA,`
3,3_6,bill,NN,EXTRA,`
3,3_6,within,IN,EXTRA,`
3,3_6,7days,CD,EXTRA,`
3,3_6,Designed,VBN,EXTRA,`
3,3_6,by,IN,EXTRA,`
3,3_6,NVM,NNP,EXTRA,`
3,3_6,SOLUTIONS,NNP,EXTRA,`
3,3_6,776843023,CD,EXTRA,`
3,3_6,",",",",EXTRA,`
3,3_6,113159693,CD,EXTRA,`
4,3_16,Mega,JJ,SHOP_NAME,`
4,3_16,Mall,NNP,SHOP_NAME,`
4,3_16,Super,NNP,SHOP_NAME,`
4,3_16,Market,NNP,SHOP_NAME,`
4,3_16,114,CD,SHOP_ADDRESS,`
4,3_16,",",",",SHOP_ADDRESS,`
4,3_16,Navalar,NNP,SHOP_ADDRESS,`
4,3_16,Road,NNP,SHOP_ADDRESS,`
4,3_16,",",",",SHOP_ADDRESS,`
4,3_16,Jaffna,NNP,SHOP_ADDRESS,`
4,3_16,TEL,NNP,TELEPHONE_NUMBER,`
4,3_16,:021,VBD,TELEPHONE_NUMBER,`
4,3_16,222,CD,TELEPHONE_NUMBER,`
4,3_16,4343,CD,TELEPHONE_NUMBER,`
4,3_16,"March,20,2019,14:04",NNP,TIME,`
4,3_16,Ref,NNP,INVOICE_NUMBER,`
4,3_16,277690,CD,INVOICE_NUMBER,`
4,3_16,User,NNP,USER,`
4,3_16,sivaa,NN,USER,`
4,3_16,Himalaya,NNP,PRODUCT_NAME,`
4,3_16,purifying,VBG,PRODUCT_NAME,`
4,3_16,neem,JJ,PRODUCT_NAME,`
4,3_16,:,:,PRODUCT_NAME,`
4,3_16,50ml,CD,PRODUCT_NAME,`
4,3_16,PC00362,NN,BATCH_CODE,`
4,3_16,:,:,EXTRA,`
4,3_16,1,CD,QTY,`
4,3_16,x285.00,NN,UNIT_PRICE,`
4,3_16,=,VBD,EXTRA,`
4,3_16,285,CD,AMOUNT,`
4,3_16,No,NNP,TOTAL_ITEMS,`
4,3_16,of,IN,TOTAL_ITEMS,`
4,3_16,item,NN,TOTAL_ITEMS,`
4,3_16,:,:,TOTAL_ITEMS,`
4,3_16,1,CD,TOTAL_ITEMS,`
4,3_16,Total,NN,TOTAL,`
4,3_16,:,:,TOTAL,`
4,3_16,RS,JJ,TOTAL,`
4,3_16,285,CD,TOTAL,`
4,3_16,Paid,VBN,CASH,`
4,3_16,by,IN,CASH,`
4,3_16,cash,NN,CASH,`
4,3_16,:,:,CASH,`
4,3_16,RS,JJ,CASH,`
4,3_16,500,CD,CASH,`
4,3_16,Change,NN,BALANCE,`
4,3_16,:,:,BALANCE,`
4,3_16,RS,JJ,BALANCE,`
4,3_16,215,CD,BALANCE,`
4,3_16,Thank,NNP,EXTRA,`
4,3_16,You,PRP,EXTRA,`
4,3_16,For,IN,EXTRA,`
4,3_16,Shopping,VBG,EXTRA,`
4,3_16,Notice,NNP,EXTRA,`
4,3_16,Any,NNP,EXTRA,`
4,3_16,Discrepancy,NNP,EXTRA,`
4,3_16,",",",",EXTRA,`
4,3_16,return,VBP,EXTRA,`
4,3_16,the,DT,EXTRA,`
4,3_16,item,NN,EXTRA,`
4,3_16,(,(,EXTRA,`
4,3_16,exchangeable*,NN,EXTRA,`
4,3_16,),),EXTRA,`
4,3_16,&,CC,EXTRA,`
4,3_16,bill,NN,EXTRA,`
4,3_16,within,IN,EXTRA,`
4,3_16,7,CD,EXTRA,`
4,3_16,days,NNS,EXTRA,`
