receipt_index,receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
1,1_56,﻿Family,RB,6,0,0,7,0,0,0,SHOP_NAME
1,1_56,Mart,NNP,4,0,0,4,0,0,0,SHOP_NAME
1,1_56,Northway,NNP,8,0,0,8,0,0,0,SHOP_NAME
1,1_56,#,#,0,0,1,1,0,0,0,SHOP_ADDRESS
1,1_56,184,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
1,1_56,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
1,1_56,Palaly,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
1,1_56,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
1,1_56,Thirunelveli,NNP,12,0,0,12,0,0,0,SHOP_ADDRESS
1,1_56,Tp,NNP,2,0,0,2,0,0,0,TELEPHONE_NUMBER
1,1_56,CASHIER,NN,7,0,0,7,0,0,0,CASHIER
1,1_56,:,:,0,0,1,1,0,0,1,CASHIER
1,1_56,BOSS,NNP,4,0,0,4,0,0,0,CASHIER
1,1_56,SALESMAN,NNP,8,0,0,8,0,0,0,CASHIER
1,1_56,:0,NNP,0,1,1,2,0,0,1,CASHIER
1,1_56,UNIT,NNP,4,0,0,4,0,0,0,CASHIER
1,1_56,:,:,0,0,1,1,0,0,1,CASHIER
1,1_56,1,CD,0,1,0,1,0,0,0,CASHIER
1,1_56,Invoice,NN,7,0,0,7,0,0,0,INVOICE_NUMBER
1,1_56,:,:,0,0,1,1,0,0,1,INVOICE_NUMBER
1,1_56,181,CD,0,3,0,3,0,0,0,INVOICE_NUMBER
1,1_56,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
1,1_56,1,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
1,1_56,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
1,1_56,Cock,NNP,4,0,0,4,0,0,0,PRODUCT_NAME
1,1_56,2L,CD,1,1,0,2,0,0,0,PRODUCT_NAME
1,1_56,[,VBD,0,0,1,1,0,0,0,PRODUCT_NAME
1,1_56,4.79E+12,CD,1,5,2,8,1,0,0,PRODUCT_NAME
1,1_56,],JJ,0,0,1,1,0,0,0,PRODUCT_NAME
1,1_56,20100125,CD,0,8,0,8,0,0,0,BATCH_CODE
1,1_56,(,(,0,0,1,1,0,0,0,EXTRA
1,1_56,340,CD,0,3,0,3,0,0,0,UNIT_PRICE
1,1_56,*,RB,0,0,1,1,0,0,0,EXTRA
1,1_56,1,CD,0,1,0,1,0,0,0,QTY
1,1_56,),),0,0,1,1,0,0,0,EXTRA
1,1_56,340,CD,0,3,0,3,0,0,0,AMOUNT
1,1_56,DISCOUNT,NNP,8,0,0,8,0,0,0,DISCOUNT
1,1_56,-45,NNP,0,2,1,3,0,0,0,DISCOUNT
1,1_56,Sub,NNP,3,0,0,3,0,0,0,TOTAL
1,1_56,Total,NNP,5,0,0,5,0,0,0,TOTAL
1,1_56,295,CD,0,3,0,3,0,0,0,TOTAL
1,1_56,Cash,NNP,4,0,0,4,0,0,0,CASH
1,1_56,500,CD,0,3,0,3,0,0,0,CASH
1,1_56,Balance,NNP,7,0,0,7,0,0,0,BALANCE
1,1_56,205,CD,0,3,0,3,0,0,0,BALANCE
1,1_56,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEM
1,1_56,of,IN,2,0,0,2,0,0,0,TOTAL_ITEM
1,1_56,items,NNS,5,0,0,5,0,0,0,TOTAL_ITEM
1,1_56,:,:,0,0,1,1,0,0,1,TOTAL_ITEM
1,1_56,1,CD,0,1,0,1,0,0,0,TOTAL_ITEM
1,1_56,No,DT,2,0,0,2,0,0,0,TOTAL_COUNT
1,1_56,of,IN,2,0,0,2,0,0,0,TOTAL_COUNT
1,1_56,Pcs,$,3,0,0,3,0,0,0,TOTAL_COUNT
1,1_56,1,CD,0,1,0,1,0,0,0,TOTAL_COUNT
1,1_56,Date,NNP,4,0,0,4,0,0,0,DATE
1,1_56,:,:,0,0,1,1,0,0,1,DATE
1,1_56,27/03/2019,CD,0,8,2,10,0,0,0,DATE
1,1_56,Time,NN,4,0,0,4,0,0,0,TIME
1,1_56,:,:,0,0,1,1,0,0,1,TIME
1,1_56,1:52:00,CD,0,5,2,7,0,0,2,TIME
1,1_56,YOUR,NNP,4,0,0,4,0,0,0,DISCOUNT
1,1_56,DISCOUNT,NNP,8,0,0,8,0,0,0,DISCOUNT
1,1_56,45,CD,0,2,0,2,0,0,0,DISCOUNT
1,1_56,Thank,NNP,5,0,0,5,0,0,0,EXTRA
1,1_56,You,PRP,3,0,0,3,0,0,0,EXTRA
1,1_56,Come,NNP,4,0,0,4,0,0,0,EXTRA
1,1_56,Again,NNP,5,0,0,5,0,0,0,EXTRA
1,1_56,No,NNP,2,0,0,2,0,0,0,EXTRA
1,1_56,cash,NN,4,0,0,4,0,0,0,EXTRA
1,1_56,refund,NN,6,0,0,6,0,0,0,EXTRA
1,1_56,for,IN,3,0,0,3,0,0,0,EXTRA
1,1_56,software,NN,8,0,0,8,0,0,0,EXTRA
1,1_56,info,NN,4,0,0,4,0,0,0,EXTRA
1,1_56,759667588,CD,0,9,0,9,0,0,0,EXTRA
1,1_56,System,NN,6,0,0,6,0,0,0,EXTRA
1,1_56,by,IN,2,0,0,2,0,0,0,EXTRA
1,1_56,Sarasa,NNP,6,0,0,6,0,0,0,EXTRA
1,1_56,tel,NN,3,0,0,3,0,0,0,EXTRA
1,1_56,:,:,0,0,1,1,0,0,1,EXTRA
1,1_56,117,CD,0,3,0,3,0,0,0,EXTRA
1,1_56,455,CD,0,3,0,3,0,0,0,EXTRA
1,1_56,400,CD,0,3,0,3,0,0,0,EXTRA
2,1_59,﻿Family,RB,6,0,0,7,0,0,0,SHOP_NAME
2,1_59,Mart,NNP,4,0,0,4,0,0,0,SHOP_NAME
2,1_59,Northway,NNP,8,0,0,8,0,0,0,SHOP_NAME
2,1_59,#,#,0,0,1,1,0,0,0,SHOP_ADDRESS
2,1_59,184,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
2,1_59,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
2,1_59,Palaly,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
2,1_59,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
2,1_59,Thirunelveli,NNP,12,0,0,12,0,0,0,SHOP_ADDRESS
2,1_59,Tp,NNP,2,0,0,2,0,0,0,TELEPHONE_NUMBER
2,1_59,CASHIER,NN,7,0,0,7,0,0,0,CASHIER
2,1_59,:,:,0,0,1,1,0,0,1,CASHIER
2,1_59,BOSS,NNP,4,0,0,4,0,0,0,CASHIER
2,1_59,SALESMAN,NNP,8,0,0,8,0,0,0,CASHIER
2,1_59,:0,NNP,0,1,1,2,0,0,1,CASHIER
2,1_59,UNIT,NNP,4,0,0,4,0,0,0,CASHIER
2,1_59,:,:,0,0,1,1,0,0,1,CASHIER
2,1_59,2,CD,0,1,0,1,0,0,0,CASHIER
2,1_59,Invoice,NN,7,0,0,7,0,0,0,INVOICE_NUMBER
2,1_59,:,:,0,0,1,1,0,0,1,INVOICE_NUMBER
2,1_59,185,CD,0,3,0,3,0,0,0,INVOICE_NUMBER
2,1_59,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,1,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
2,1_59,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,CH,NNP,2,0,0,2,0,0,0,PRODUCT_NAME
2,1_59,Milk,NNP,4,0,0,4,0,0,0,PRODUCT_NAME
2,1_59,Marie,NNP,5,0,0,5,0,0,0,PRODUCT_NAME
2,1_59,80g,CD,1,2,0,3,0,0,0,PRODUCT_NAME
2,1_59,[,VBD,0,0,1,1,0,0,0,PRODUCT_NAME
2,1_59,4.79E+12,CD,1,5,2,8,1,0,0,PRODUCT_NAME
2,1_59,],JJ,0,0,1,1,0,0,0,PRODUCT_NAME
2,1_59,10100256,CD,0,8,0,8,0,0,0,BATCH_CODE
2,1_59,(,(,0,0,1,1,0,0,0,EXTRA
2,1_59,30,CD,0,2,0,2,0,0,0,UNIT_PRICE
2,1_59,*,RB,0,0,1,1,0,0,0,EXTRA
2,1_59,1,CD,0,1,0,1,0,0,0,QTY
2,1_59,),),0,0,1,1,0,0,0,EXTRA
2,1_59,30,CD,0,2,0,2,0,0,0,AMOUNT
2,1_59,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,2,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
2,1_59,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,US,PRP,2,0,0,2,0,0,0,PRODUCT_NAME
2,1_59,REAL,JJ,4,0,0,4,0,0,0,PRODUCT_NAME
2,1_59,LEMON,NNP,5,0,0,5,0,0,0,PRODUCT_NAME
2,1_59,PUFF,NNP,4,0,0,4,0,0,0,PRODUCT_NAME
2,1_59,100G,CD,1,3,0,4,0,0,0,PRODUCT_NAME
2,1_59,[,VBD,0,0,1,1,0,0,0,PRODUCT_NAME
2,1_59,4.79E+12,CD,1,5,2,8,1,0,0,PRODUCT_NAME
2,1_59,],JJ,0,0,1,1,0,0,0,PRODUCT_NAME
2,1_59,10600007,CD,0,8,0,8,0,0,0,BATCH_CODE
2,1_59,(,(,0,0,1,1,0,0,0,EXTRA
2,1_59,55,CD,0,2,0,2,0,0,0,UNIT_PRICE
2,1_59,*,RB,0,0,1,1,0,0,0,EXTRA
2,1_59,1,CD,0,1,0,1,0,0,0,QTY
2,1_59,),),0,0,1,1,0,0,0,EXTRA
2,1_59,55,CD,0,2,0,2,0,0,0,AMOUNT
2,1_59,(,(,0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,3,CD,0,1,0,1,0,0,0,PRODUCT_NUMBER
2,1_59,),),0,0,1,1,0,0,0,PRODUCT_NUMBER
2,1_59,Dill,NNP,4,0,0,4,0,0,0,PRODUCT_NAME
2,1_59,seed,NN,4,0,0,4,0,0,0,PRODUCT_NAME
2,1_59,42,CD,0,2,0,2,0,0,0,PRODUCT_NAME
2,1_59,(,(,0,0,1,1,0,0,0,EXTRA
2,1_59,200,CD,0,3,0,3,0,0,0,UNIT_PRICE
2,1_59,*,RB,0,0,1,1,0,0,0,EXTRA
2,1_59,1,CD,0,1,0,1,0,0,0,QTY
2,1_59,),),0,0,1,1,0,0,0,EXTRA
2,1_59,200,CD,0,3,0,3,0,0,0,AMOUNT
2,1_59,Sub,NNP,3,0,0,3,0,0,0,TOTAL
2,1_59,Total,NNP,5,0,0,5,0,0,0,TOTAL
2,1_59,285,CD,0,3,0,3,0,0,0,TOTAL
2,1_59,Cash,NNP,4,0,0,4,0,0,0,CASH
2,1_59,1000,CD,0,4,0,4,0,0,0,CASH
2,1_59,Balance,NNP,7,0,0,7,0,0,0,BALANCE
2,1_59,715,CD,0,3,0,3,0,0,0,BALANCE
2,1_59,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEM
