receipt_index,receipt_number,word,POS,tag
1,1_56,﻿Family,RB,SHOP_NAME
1,1_56,Mart,NNP,SHOP_NAME
1,1_56,Northway,NNP,SHOP_NAME
1,1_56,#,#,SHOP_ADDRESS
1,1_56,184,CD,SHOP_ADDRESS
1,1_56,",",",",SHOP_ADDRESS
1,1_56,Palaly,NNP,SHOP_ADDRESS
1,1_56,Road,NNP,SHOP_ADDRESS
1,1_56,Thirunelveli,NNP,SHOP_ADDRESS
1,1_56,Tp,NNP,TELEPHONE_NUMBER
1,1_56,CASHIER,NN,CASHIER
1,1_56,:,:,CASHIER
1,1_56,BOSS,NNP,CASHIER
1,1_56,SALESMAN,NNP,CASHIER
1,1_56,:0,NNP,CASHIER
1,1_56,UNIT,NNP,CASHIER
1,1_56,:,:,CASHIER
1,1_56,1,CD,CASHIER
1,1_56,Invoice,NN,INVOICE_NUMBER
1,1_56,:,:,INVOICE_NUMBER
1,1_56,181,CD,INVOICE_NUMBER
1,1_56,(,(,PRODUCT_NUMBER
1,1_56,1,CD,PRODUCT_NUMBER
1,1_56,),),PRODUCT_NUMBER
1,1_56,Cock,NNP,PRODUCT_NAME
1,1_56,2L,CD,PRODUCT_NAME
1,1_56,[,VBD,PRODUCT_NAME
1,1_56,4.79E+12,CD,PRODUCT_NAME
1,1_56,],JJ,PRODUCT_NAME
1,1_56,20100125,CD,BATCH_CODE
1,1_56,(,(,EXTRA
1,1_56,340,CD,UNIT_PRICE
1,1_56,*,RB,EXTRA
1,1_56,1,CD,QTY
1,1_56,),),EXTRA
1,1_56,340,CD,AMOUNT
1,1_56,DISCOUNT,NNP,DISCOUNT
1,1_56,-45,NNP,DISCOUNT
1,1_56,Sub,NNP,TOTAL
1,1_56,Total,NNP,TOTAL
1,1_56,295,CD,TOTAL
1,1_56,Cash,NNP,CASH
1,1_56,500,CD,CASH
1,1_56,Balance,NNP,BALANCE
1,1_56,205,CD,BALANCE
1,1_56,No,NNP,TOTAL_ITEM
1,1_56,of,IN,TOTAL_ITEM
1,1_56,items,NNS,TOTAL_ITEM
1,1_56,:,:,TOTAL_ITEM
1,1_56,1,CD,TOTAL_ITEM
1,1_56,No,DT,TOTAL_COUNT
1,1_56,of,IN,TOTAL_COUNT
1,1_56,Pcs,$,TOTAL_COUNT
1,1_56,1,CD,TOTAL_COUNT
1,1_56,Date,NNP,DATE
1,1_56,:,:,DATE
1,1_56,27/03/2019,CD,DATE
1,1_56,Time,NN,TIME
1,1_56,:,:,TIME
1,1_56,1:52:00,CD,TIME
1,1_56,YOUR,NNP,DISCOUNT
1,1_56,DISCOUNT,NNP,DISCOUNT
1,1_56,45,CD,DISCOUNT
1,1_56,Thank,NNP,EXTRA
1,1_56,You,PRP,EXTRA
1,1_56,Come,NNP,EXTRA
1,1_56,Again,NNP,EXTRA
1,1_56,No,NNP,EXTRA
1,1_56,cash,NN,EXTRA
1,1_56,refund,NN,EXTRA
1,1_56,for,IN,EXTRA
1,1_56,software,NN,EXTRA
1,1_56,info,NN,EXTRA
1,1_56,759667588,CD,EXTRA
1,1_56,System,NN,EXTRA
1,1_56,by,IN,EXTRA
1,1_56,Sarasa,NNP,EXTRA
1,1_56,tel,NN,EXTRA
1,1_56,:,:,EXTRA
1,1_56,117,CD,EXTRA
1,1_56,455,CD,EXTRA
1,1_56,400,CD,EXTRA
2,1_59,﻿Family,RB,SHOP_NAME
2,1_59,Mart,NNP,SHOP_NAME
2,1_59,Northway,NNP,SHOP_NAME
2,1_59,#,#,SHOP_ADDRESS
2,1_59,184,CD,SHOP_ADDRESS
2,1_59,",",",",SHOP_ADDRESS
2,1_59,Palaly,NNP,SHOP_ADDRESS
2,1_59,Road,NNP,SHOP_ADDRESS
2,1_59,Thirunelveli,NNP,SHOP_ADDRESS
2,1_59,Tp,NNP,TELEPHONE_NUMBER
2,1_59,CASHIER,NN,CASHIER
2,1_59,:,:,CASHIER
2,1_59,BOSS,NNP,CASHIER
2,1_59,SALESMAN,NNP,CASHIER
2,1_59,:0,NNP,CASHIER
2,1_59,UNIT,NNP,CASHIER
2,1_59,:,:,CASHIER
2,1_59,2,CD,CASHIER
2,1_59,Invoice,NN,INVOICE_NUMBER
2,1_59,:,:,INVOICE_NUMBER
2,1_59,185,CD,INVOICE_NUMBER
2,1_59,(,(,PRODUCT_NUMBER
2,1_59,1,CD,PRODUCT_NUMBER
2,1_59,),),PRODUCT_NUMBER
2,1_59,CH,NNP,PRODUCT_NAME
2,1_59,Milk,NNP,PRODUCT_NAME
2,1_59,Marie,NNP,PRODUCT_NAME
2,1_59,80g,CD,PRODUCT_NAME
2,1_59,[,VBD,PRODUCT_NAME
2,1_59,4.79E+12,CD,PRODUCT_NAME
2,1_59,],JJ,PRODUCT_NAME
2,1_59,10100256,CD,BATCH_CODE
2,1_59,(,(,EXTRA
2,1_59,30,CD,UNIT_PRICE
2,1_59,*,RB,EXTRA
2,1_59,1,CD,QTY
2,1_59,),),EXTRA
2,1_59,30,CD,AMOUNT
2,1_59,(,(,PRODUCT_NUMBER
2,1_59,2,CD,PRODUCT_NUMBER
2,1_59,),),PRODUCT_NUMBER
2,1_59,US,PRP,PRODUCT_NAME
2,1_59,REAL,JJ,PRODUCT_NAME
2,1_59,LEMON,NNP,PRODUCT_NAME
2,1_59,PUFF,NNP,PRODUCT_NAME
2,1_59,100G,CD,PRODUCT_NAME
2,1_59,[,VBD,PRODUCT_NAME
2,1_59,4.79E+12,CD,PRODUCT_NAME
2,1_59,],JJ,PRODUCT_NAME
2,1_59,10600007,CD,BATCH_CODE
2,1_59,(,(,EXTRA
2,1_59,55,CD,UNIT_PRICE
2,1_59,*,RB,EXTRA
2,1_59,1,CD,QTY
2,1_59,),),EXTRA
2,1_59,55,CD,AMOUNT
2,1_59,(,(,PRODUCT_NUMBER
2,1_59,3,CD,PRODUCT_NUMBER
